roundId,investor
round_186,Omidyar Network and Shunwei Capital
round_187,Accel (formerly known as Accel Partners)
round_189,Y Combinator
round_190,Ajay Relan and Vinay Mittal
round_191,MDI Ventures & Telkom Indonesia
round_192,Shunwei Capital
round_192,Tuscan Ventures
round_192,Ashish Goenka
round_192,VC firms India Quotient and Kae Capital
round_193,Info Edge (India) Ltd and Temasek
round_194,Info Edge (India) Ltd
round_195,Insignia Ventures Partners
round_195,Lightbridge Partners & Kairos
round_196,"Avtar Monga, chief operating office at IDFC Bank"
round_196,Aditya Malik & Others
round_197,Venture Catalysts
round_198,ResponsAbility
round_199,Stellaris Venture Partners
round_199,Vy Capital
round_199,"Raghunandan G, and Ramakant Sharma"
round_200,Base of Pyramid Asia (BOPA) Pte Ltd
round_201,Rishi Vasudev
round_201,Excelsior Investments
round_201,Ritesh Vohra
round_201,Praveer Kumar
round_201,Prashant Gupta and Others
round_202,Brand Capital and Others
round_203,Siddharth Agarwal
round_203,Mahavir Sharma
round_203,Amit Singal
round_203,100 Co-founders Lab and others.
round_204,Creation Investments
round_204,Falcon Edge
round_204,Matrix Partners India and Zodius Capital
round_205,Kingsway FCI Fund
round_205,KCK Global & Others
round_206,Omidyar Network & Others
round_207,TPG Growth
round_207,The Rise Fund & Others
round_209,PayU & Others
round_211,AngelList
round_211,Rahul Khanna
round_211,Rajeev Arora and Ram Ramsundar.
round_212,Metaform Ventures
round_212,Hemant Luthra
round_212,Micro venture capital firm GEMS Partners and Others
round_213,Gray Matters
round_214,Fairfax
round_215,Allcargo Logistics
round_215,Navneet Education and Mahavir Agency
round_216,BeeNext
round_216,WEH Ventures and Sprout Ventures
round_217,Ventureast and Exfinity
round_218,Bharat Innovation
round_218,IDFC-Parampara Capital
round_218,Arthavida Ventures
round_218,Jitendra Gupta & Others
round_219,MakeMyTrip
round_220,Lindwall Family Investments LLC (LFI)
round_221,Amazon Alexa Fund & Dentsu Ventures
round_222,IDG Ventures
round_222,Accel Partners
round_222,Kalaari Capital and Others
round_223,TPG
round_223,Norwest Venture Partners
round_223,Sequoia Capital & Matrix Partners
round_224,Kantilal Patel
round_225,Sabre Partners
round_225,Puneet Dalmia & Others
round_226,Aspire Logistics LLC
round_227,Bhairavi Jani
round_227,Alok Divatia
round_227,Namrata Kaul
round_227,Sohail Hashemi
round_227,Aijaz Saleem
round_228,Anil Advani
round_228,Pramod Jain
round_228,Amrendra Reddy and Manish Satnaliwala.
round_229,NB Ventures and Others
round_230,Oman India Joint Investment Fund (OIJIF)
round_231,Sequoia Capital India
round_231,SAIF Partners
round_231,Y Combinator and Venture Highway
round_232,CapitalG
round_232,SAIF Partners and LGT Impact Ventures
round_233,Mumbai Angels Network
round_234,Alpha Capital
round_235,Paragon Partners
round_236,Saama Capital and Sequoia Capital
round_237,Spiral Ventures
round_237,Subho Ray and Samir Kumar
round_238,LetsVenture
round_238,Rajan Anandan
round_238,Basab Pradhan
round_238,Vivek Khare and Bijoy George
round_239,Rannvijay Singha
round_240,Brand Capital
round_241,Helix Investments
round_242,Lighthouse Funds & Thuasne Participations
round_243,Hyperplane Venture Capital and several angel investors
round_244,Menterra Venture & Artha Initiatives
round_245,Shorooq Investments
round_245,LetsVenture & Others
round_246,Accel Partners
round_246,Sequoia India
round_246,Y Combinator and others.
round_247,Sequoia Capital
round_247,Accel Partners & Raghunandan Gangappa
round_248,SoftBank Vision Fund & Info Edge (India) Ltd
round_249,Diageo India
round_250,Equanimity Venture Fund
round_251,One 97 Communications
round_252,Accel Partners
round_252,IDG Venture
round_252,"Endiya Partners, pi Ventures"
round_252,VH Capital
round_252,Axilor Ventures and Binny Bansal
round_253,Undisclosed Existing Investors As Well As The Tamarind Family Trust
round_254,Speciale Invest & Others
round_255,Leo Capital
round_256,Shiva Gunapu & Others
round_257,Unknown High Net-Worth Individuals
round_258,B Capital
round_258,International Finance Corporation (IFC)
round_258,Accel Partners and IDG Ventures
round_259,IL&FS Private Equity
round_259,Kae Capital & Others
round_261,Unitus Ventures
round_261,Behram Vakil and Jerxis Vandrevala
round_262,Rairah Corporation
round_263,Sunil Munjal
round_263,Harsh Mariwala
round_263,Dalip Pathak and Others
round_264,Prime Venture Partners
round_264,Stellaris Venture Partners and Mayur Abhaya Srisrimal
round_265,Blume ventures
round_266,Kalaari Capital
round_266,Unilever Ventures and Blume Ventures
round_267,Credika and unnamed angel investors
round_268,LetsVenture
round_269,RS Shanbag
round_270,Insistor
round_270,Oikocredit
round_271,Ashish Kacholi
round_271,S Chand Group
round_272,Atul Gupta and Saurabh Rastogi
round_273,Amazon
round_273,Ashish Dhawan
round_273,Catamaran Ventures
round_273,NR Narayana Murthy.
round_274,Prashant Mehta
round_274,Mitali Pawar
round_274,Nikhil G and Bhavesh P
round_274,R Ranganathan
round_274,ONCOTRUST and Medintel Services Pvt. Ltd
round_275,Kalaari Capital
round_275,Omidyar Network and Accion Venture Labs
round_276,Amazon Inc. and Mastercard
round_277,Treebo
round_278,IndusAge Partners
round_278,Bill & Melinda Gates Foundation
round_278,Qualcomm Venture
round_278,ABB Technology Ventures
round_278,Omnivore
round_278,Blume Ventures
round_278,Venture Highway and BEENEXT
round_279,Accion Venture Lab
round_279,YourNest Venture Capital And Other Angel Investors
round_280,Exfinity Venture
round_280,Saha fund Partners
round_280,Arihant Patni of Patni Family Office
round_280,Anjali Bansal
round_280,Shardul Amarchand Mangaldas
round_280,Satish Khanna and Taparia family office.
round_281,Subhkam Ventures and Mohit Khadaria
round_282,Vishal Bali
round_282,Yogesh Misra
round_282,Thomas Assessments and others
round_284,ChrysCapital
round_284,Existing investors
round_284,Elevar Equity
round_284,LGT Impact
round_284,Omidyar Network and Kaizen Private Equity also participated in the round
round_285,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels"
round_286,Accel Partners
round_286,Tiger Global And Others
round_287,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim
round_288,Fireside Ventures
round_289,Matrix Partner
round_289,Amrish Rau
round_289,Investopad
round_289,Digital Currency Group
round_289,Hinduja Group
round_289,Lightspeed India
round_289,Eight Innovate
round_289,Amit Ranjan
round_289,Prashant Malik and others
round_291,Kae Capital Management
round_292,Fundamentum
round_292,SAIF Partners
round_292,Bessemer Venture Partners
round_292,RB investments & Others
round_293,SRI Capital
round_293,Waterbridge Ventures and ThinKuvate
round_294,BlueOrchard Finance Ltd
round_294,Hinduja Leyland Finance and IntelleGrow
round_295,Lok Capital
round_296,Mr. Manoj Prasad
round_297,Rajan Anandan
round_297,Madhusudhan Kannan
round_297,Jayant Kadambi
round_297,Puneet Gupta and Pradeep K Jaisingh
round_298,International Finance Corporation
round_298,Transamerica and others.
round_299,TR Capital
round_300,Shilpa Shetty Kundra
round_301,Pravega Ventures and Beenext
round_302,Line Ventures Corporation
round_302,Line Corp
round_302,Naver
round_302,Shinhan Bank and TS Investment
round_303,Biz Stone
round_303,Kunal Bahl
round_303,Rohit Bansal
round_303,Alagu Periyannan and Karthee Madasamy
round_304,Vidal Healthcare
round_305,Sunil Munjal
round_305,Harsh Mariwala
round_305,Dalip Pathak and Others
round_307,Amazon
round_308,GEMS Advisory
round_308,Alok Mittal and Sachin Bhatia
round_309,Neoplux
round_309,OPPO
round_309,IDG Ventures India
round_309,Kalaari Capital
round_309,GREE Ventures and Summit Media
round_310,Omidyar Network
round_310,Nandan Nilekani
round_310,Blume Ventures
round_310,Helion Venture Partners
round_311,Sequoia Capital
round_311,Maverick Capital Ltd and HBM Healthcare Investments Ltd
round_312,Emery Capital
round_312,Blacksoil and Kalaari Capital
