startup,industry
NanoClean Global,IoT & Hardware
OyoRooms,Healthtech
CarDekho,B2B & Industrial
Vyome Therapeutics Inc.,Healthtech
Samunnati Financial Intermediation & Services Pvt. Ltd,Fintech
Manch,Media & Entertainment
UrbanClap Technologies Pvt. Ltd,Consumer Internet & Tech
Guiddoo,Travel & Hospitality
Career Anna,Edtech
Nagpur Wholesale,E-Commerce
ShopKirana,B2B & Industrial
BuildSupply,E-Commerce
GoDesi,Food & Beverage
Veritas Finance Ltd.,Fintech
Mobile Premier League,Media & Entertainment
A&R Bon Vivants,Food & Beverage
Blackbuck,Food & Beverage
MilkBAsket,Food & Beverage
DriveU,Logistics & Transport
CleanseCar,Consumer Internet & Tech
Automation Anywhere,SaaS & Enterprise Tech
HealthifyMe,Healthtech
Genius Corner,Edtech
Aavishkaar-Intellecap Group,Fintech
Skillbox,Social & Community
Signzy,Fintech
Engineer.ai,SaaS & Enterprise Tech
InCred Finance,Fintech
Roposo,Media & Entertainment
Northmist,Fashion & Lifestyle
Origo Commodities India Pvt. Ltd,Logistics & Transport
Grover Zampa,Food & Beverage
Droom,B2B & Industrial
Innov8,Real Estate & PropTech
Blackbuck,Logistics & Transport
LetsTransport,Logistics & Transport
Netmeds,Consumer Internet & Tech
Udaan,SaaS & Enterprise Tech
Daily hunt,Consumer Internet & Tech
3HCare,Healthtech
HappyGoEasy,Consumer Internet & Tech
Nykaa,Consumer Internet & Tech
Mad Street Den,Consumer Internet & Tech
Dream11,Consumer Internet & Tech
MamaEarth,Healthtech
AutoGrid,Consumer Internet & Tech
Pharmeasy,Consumer Internet & Tech
Upwards,Fintech
Kissht,Fintech
dishq,Food & Beverage
HealthFin,Fintech
Samosa Labs,Consumer Internet & Tech
ZiffyHomes,Consumer Internet & Tech
My OmNamo,Consumer Internet & Tech
ShopX,Consumer Internet & Tech
MakeMyTrip,Consumer Internet & Tech
Hansel io,Consumer Internet & Tech
Metro Bikes,Consumer Internet & Tech
Phone Pe,Consumer Internet & Tech
quizizz,Edtech
Happy EMI,Fintech
Inthree,Consumer Internet & Tech
Observe AI,Consumer Internet & Tech
Enakshi,Consumer Internet & Tech
EazyDiner,Consumer Internet & Tech
Finzy,Fintech
RawPressery,Consumer Internet & Tech
Pi Ventures,Consumer Internet & Tech
Revv,Consumer Internet & Tech
ZestMoney,Consumer Internet & Tech
Shubh Loans,Fintech
MyUpchar,Healthtech
Narvar,Consumer Internet & Tech
True North,Fintech
Leena AI,Consumer Internet & Tech
Biryani By Kilo,Consumer Internet & Tech
Anchanto,Consumer Internet & Tech
Loan Tap,Consumer Internet & Tech
PolicyBazaar,Consumer Internet & Tech
zippserv,Consumer Internet & Tech
Groww,Consumer Internet & Tech
Avenue Growth,Consumer Internet & Tech
iNICU,Healthtech
Kinara Capital,Fintech
Shop 101,Consumer Internet & Tech
Sambandh,Consumer Internet & Tech
19th mile,Consumer Internet & Tech
5th Vital,Healthtech
MEngage,Healthtech
Ofbusiness,Fintech
Cars24,Consumer Internet & Tech
The Ken,Consumer Internet & Tech
Book My Show,Consumer Internet & Tech
HousingMan,Consumer Internet & Tech
PaySense,Consumer Internet & Tech
Yulu Bikes,Consumer Internet & Tech
VTION,Consumer Internet & Tech
Log9 Materials,Consumer Internet & Tech
kidovators,Edtech
Digit,Consumer Internet & Tech
Black Soil,Fintech
Trell,Consumer Internet & Tech
iqlect,Consumer Internet & Tech
Entropik,Consumer Internet & Tech
Bitla Software,Consumer Internet & Tech
TheCapitalNet,Fintech
Shuttl,Consumer Internet & Tech
Cure Fit,Consumer Internet & Tech
Five Star Group,Fintech
Healthsignz,Healthtech
CoinTribe,Fintech
Digiconectt,Consumer Internet & Tech
Kashmir Box,E-Commerce
Crowdera,Fintech
Zoctr,Healthtech
Annapurna Finance,Fintech
Meesho,Consumer Internet & Tech
AyeFinance,Fintech
Theranosis,Healthtech
Alpha Capital,Fintech
eshakti,E-Commerce
Daily Ninja,Consumer Internet & Tech
NirogStreet,Healthtech
Nivesh,Fintech
What\\xe2\\x80\\x99s Up Life,Consumer Internet & Tech
HomeLane,Consumer Internet & Tech
Network Intelligence,Consumer Internet & Tech
Tynor Othontics,Healthtech
Elucidata,Consumer Internet & Tech
Chrysalis,Edtech
RentSher,Consumer Internet & Tech
Drip capital,Fintech
WickedRide,Consumer Internet & Tech
HipBar,Consumer Internet & Tech
Sqqrl,Fintech
Paytm,Consumer Internet & Tech
Sigtuple,Healthtech
Wow Express,Consumer Internet & Tech
Front Desk AI,Consumer Internet & Tech
Edureka,Edtech
Numeroseven,Consumer Internet & Tech
OpenTap,Fintech
Bizongo,Consumer Internet & Tech
Disprz,Consumer Internet & Tech
PaisaDukan,Consumer Internet & Tech
i3sysytems,Consumer Internet & Tech
Earth Food,Consumer Internet & Tech
mfine,Healthtech
Rocketium,Consumer Internet & Tech
MilkBasket,Consumer Internet & Tech
Vola,Fintech
Cashkumar,Consumer Internet & Tech
Edyoo,E-Commerce
Aashiyaan,Fintech
Smartivity,Edtech
Bonphulapl,CleanTech & Energy
Acko,Consumer Internet & Tech
HWell24,Healthtech
Toffee,Consumer Internet & Tech
Tonetag,Consumer Internet & Tech
Events High,Consumer Internet & Tech
Stellaps,Consumer Internet & Tech
Credright,Consumer Internet & Tech
Fitternity,Consumer Internet & Tech
Synctag,Consumer Internet & Tech
Benepik,Consumer Internet & Tech
Finzy,Consumer Internet & Tech
Varthana,Fintech
IndigoLearn,Edtech
Vedantu,Edtech
Kaleidofin,Fintech
Pipabella,Consumer Internet & Tech
Elemential,Consumer Internet & Tech
Kriger Campus,Edtech
Loanzen,Fintech
TravelTriangle,Consumer Internet & Tech
Letsmd,Healthtech
mintifi,Fintech
icanstay,Consumer Internet & Tech
Pregbuddy,Healthtech
Coverfox,Consumer Internet & Tech
Lenskart,Consumer Internet & Tech
mamaearth,Healthtech
Fyle Technologies,Consumer Internet & Tech
True Balance,Consumer Internet & Tech
Visit,Healthtech
Doxper,Healthtech
Mihuru,Fintech
Capital Float,Fintech
