startup,industry
ClearTax,Consumer Internet & Tech
Roposo,E-Commerce
CareonGO,Consumer Internet & Tech
ICHR,Consumer Internet & Tech
Impact Guru,Consumer Internet & Tech
Gympik,Consumer Internet & Tech
Testbook,Consumer Internet & Tech
IQlect,Consumer Internet & Tech
MoMark,Consumer Internet & Tech
Skedool,Consumer Internet & Tech
Systemantics,Consumer Internet & Tech
Vertuals,Consumer Internet & Tech
Imarticus Learning,Edtech
Shouut,Consumer Internet & Tech
Aahaa,E-Commerce
FTCash,Consumer Internet & Tech
Civilsdaily,Consumer Internet & Tech
Zappka,Consumer Internet & Tech
Tarusa World,E-Commerce
medECUBE,Healthtech
N.O.W,Consumer Internet & Tech
Reach,Consumer Internet & Tech
Vanity Cube,Consumer Internet & Tech
Medidaili,Consumer Internet & Tech
Finomena,Consumer Internet & Tech
Cookaroo,Consumer Internet & Tech
vPhrase Analytics,Consumer Internet & Tech
LoveCycles,Consumer Internet & Tech
Kartrocket,E-Commerce
dunzo,Consumer Internet & Tech
Indiamart,E-Commerce
SmartVizX,Consumer Internet & Tech
MyGubbi,Real Estate & PropTech
Nukkad Shops,Consumer Internet & Tech
Cloudacar,Consumer Internet & Tech
Justride,Consumer Internet & Tech
Yana,Consumer Internet & Tech
Big Fish Ventures,Food & Beverage
Stylflip,E-Commerce
Supplified,E-Commerce
JollyFoodFellow,Consumer Internet & Tech
PinkBlue,E-Commerce
TruckingCube,Logistics & Transport
eSwasthya,Consumer Internet & Tech
FlipClass,Consumer Internet & Tech
Proximit,Consumer Internet & Tech
WithMe,Consumer Internet & Tech
Avagmah,Consumer Internet & Tech
Wealthy,Consumer Internet & Tech
Pramati,Healthtech
Qlivery,Consumer Internet & Tech
HealthEnablr,Consumer Internet & Tech
Liftiee,Consumer Internet & Tech
Hello Curry,Food & Beverage
goSporto,Consumer Internet & Tech
OneClickWash,Consumer Internet & Tech
Girnar Software,Consumer Internet & Tech
Room On Call,Consumer Internet & Tech
DrivoJoy,Consumer Internet & Tech
Smartron,Consumer Internet & Tech
LifCare,Consumer Internet & Tech
CreditSeva,Consumer Internet & Tech
CityShor,Consumer Internet & Tech
Endless Robotics,Consumer Internet & Tech
SP Robotics,Consumer Internet & Tech
eKincare,Consumer Internet & Tech
HashLearn,Consumer Internet & Tech
Wheelstreet,Consumer Internet & Tech
Horntell,Consumer Internet & Tech
Schoolkart,E-Commerce
HealthEminds,Consumer Internet & Tech
Babygogo,Consumer Internet & Tech
Veritas Finance,Fintech
QikShip,Consumer Internet & Tech
FixNix,Consumer Internet & Tech
Touchkin,Healthtech
SwitchMe,Consumer Internet & Tech
Transcell,Healthtech
Blue Tokai Coffee,E-Commerce
Altizone,Consumer Internet & Tech
Oust App,Consumer Internet & Tech
Strike,Consumer Internet & Tech
MaaxMarket,Consumer Internet & Tech
Gamooz,Consumer Internet & Tech
SoundSurround,Consumer Internet & Tech
Mazkara,Consumer Internet & Tech
RoadGods,E-Commerce
Pindropmusic,Consumer Internet & Tech
Woodpie,Consumer Internet & Tech
Perfumery,E-Commerce
Magic Crate,Edtech
ZenDrive,Consumer Internet & Tech
Smartcooky,E-Commerce
Turtlemint,Consumer Internet & Tech
BHIVE,Real Estate & PropTech
Gingercrush,E-Commerce
American Vision,Consumer Internet & Tech
DawaiLelo,Consumer Internet & Tech
LiveNutriFit,Healthtech
iStyleYou,Consumer Internet & Tech
AdUrCup,Consumer Internet & Tech
Weddingz,Consumer Internet & Tech
Urban Dhobi,Consumer Internet & Tech
Gray Routes,Consumer Internet & Tech
Xpressbees,E-Commerce
Invictus Oncology,Healthtech
Inc42,Consumer Internet & Tech
Capzest,Consumer Internet & Tech
GlamStudios,Consumer Internet & Tech
Affimity,Consumer Internet & Tech
Anandakanda,Consumer Internet & Tech
JoulestoWatts,Consumer Internet & Tech
Shopkirana,Consumer Internet & Tech
Stylofie,Consumer Internet & Tech
OyBob,E-Commerce
ActOnMagic,Consumer Internet & Tech
iGrenEnergi,Consumer Internet & Tech
RKSV,Consumer Internet & Tech
Aasaanjobs,Consumer Internet & Tech
Snapdeal,E-Commerce
Snapbizz,Consumer Internet & Tech
GoYaNo,Consumer Internet & Tech
Buddy,Fintech
Legistify,Consumer Internet & Tech
TableHero,Consumer Internet & Tech
BetterPlace,Consumer Internet & Tech
Salebhai,E-Commerce
icustommadeit,E-Commerce
Tring,Consumer Internet & Tech
Timemytask,Consumer Internet & Tech
GameZop,Consumer Internet & Tech
Notary Mama,Consumer Internet & Tech
The Viral Fever,Consumer Internet & Tech
Avanti Learning,Edtech
Bollant Industries,Consumer Internet & Tech
GetVee,Consumer Internet & Tech
HealthKumbh,Consumer Internet & Tech
Unlaze,Consumer Internet & Tech
Tracxn,Consumer Internet & Tech
Careongo,E-Commerce
Ark Robot,Consumer Internet & Tech
Jaypore,E-Commerce
Finance Buddha,Consumer Internet & Tech
AlmaConnect,Consumer Internet & Tech
Advantage Club,Consumer Internet & Tech
LocalRamu,Consumer Internet & Tech
Baby Berry,Consumer Internet & Tech
First Eat,Consumer Internet & Tech
SigTuple,Consumer Internet & Tech
Taskbob,Consumer Internet & Tech
Styledotme,Consumer Internet & Tech
NewsLaundry,Consumer Internet & Tech
CupoNation,Consumer Internet & Tech
Aarav UAV,Consumer Internet & Tech
Sayfix,Consumer Internet & Tech
LoanZen,Consumer Internet & Tech
AppilyEver,Consumer Internet & Tech
Pocketin,Consumer Internet & Tech
FeetApart,Consumer Internet & Tech
CarveNiche,Consumer Internet & Tech
Juspay,Consumer Internet & Tech
Funcart,E-Commerce
Freedom Smart Labs,Consumer Internet & Tech
EduBridge,Consumer Internet & Tech
Nestaway,Consumer Internet & Tech
Hopscotch,E-Commerce
PinClick,Consumer Internet & Tech
Helpi,Consumer Internet & Tech
DogSpot,E-Commerce
Career360,Edtech
B9 Beverages,Food & Beverage
WIMWI Foods,Food & Beverage
MyChild App,Edtech
Instaproc,E-Commerce
360Ride,Consumer Internet & Tech
Alef\\nMobitech,Consumer Internet & Tech
Tracxn,Fintech
Qdesq,Real Estate & PropTech
Sensara,Consumer Internet & Tech
Zebpay,Consumer Internet & Tech
PlanMy\\nMedicalTrip,Healthtech
MyCity4Kids,Edtech
Justdakhila.com,Edtech
PitStop,Consumer Internet & Tech
Bikxie,Consumer Internet & Tech
Infurnia,Consumer Internet & Tech
Myly,Edtech
Melorra,E-Commerce
ConfirmTKT,Consumer Internet & Tech
Gyaanzone,Edtech
FlatFurnish,Consumer Internet & Tech
Lumiere,E-Commerce
Wishup,Consumer Internet & Tech
FreshMenu,Consumer Internet & Tech
SavvyMob,E-Commerce
Fashionablyin,Consumer Internet & Tech
Hike Messenger,Consumer Internet & Tech
iBus Networks,Consumer Internet & Tech
Happy2Refer,Consumer Internet & Tech
CarTrade,Consumer Internet & Tech
Rentomo,Consumer Internet & Tech
Roder,Consumer Internet & Tech
Bucker,Consumer Internet & Tech
Care24,Healthtech
Obino,Healthtech
Snapshopr,Consumer Internet & Tech
Buildkar,E-Commerce
Orahi,Consumer Internet & Tech
Remidio,Healthtech
evibe.in,Consumer Internet & Tech
Jobick,Consumer Internet & Tech
Plick,Consumer Internet & Tech
Voice Friends,Consumer Internet & Tech
Kartrocket,Consumer Internet & Tech
Cashkaro,Consumer Internet & Tech
Gameezop,Consumer Internet & Tech
DailyObjects,E-Commerce
CollegeDunia,Consumer Internet & Tech
Villgro,Fintech
Reddoorz,Consumer Internet & Tech
IndustryBuying,E-Commerce
Just Buy Live,E-Commerce
IMbesharam,E-Commerce
Moodoo,Consumer Internet & Tech
Saral Designs,Healthtech
FirstCry,E-Commerce
Easypolicy,Consumer Internet & Tech
CREO,Consumer Internet & Tech
ShabdaNagari,Consumer Internet & Tech
Little,Consumer Internet & Tech
SnapBizz,E-Commerce
PlexusMD,Consumer Internet & Tech
Silvan,Consumer Internet & Tech
EPS,Consumer Internet & Tech
Gajty,Healthtech
SIFTR Labs,Consumer Internet & Tech
Power2SME,Consumer Internet & Tech
SkyCandle,E-Commerce
Teabox.com,E-Commerce
Buildzar,E-Commerce
Applicate,Consumer Internet & Tech
WhatsOnRent,E-Commerce
Zebi (yet to launch),Consumer Internet & Tech
Truce,Food & Beverage
JustDoc,Consumer Internet & Tech
Myeglu,Consumer Internet & Tech
BitGiving,Consumer Internet & Tech
Truebil,E-Commerce
Rare Media,Consumer Internet & Tech
TinMen,Consumer Internet & Tech
CodingLabs,Consumer Internet & Tech
FindUrClass,Consumer Internet & Tech
DesignBids,Consumer Internet & Tech
CollegeDekho,Edtech
Black White Orange Brands,Media & Entertainment
Biteclub,Food & Beverage
Patel Logistics,Logistics & Transport
Wigzo,SaaS & Enterprise Tech
Zapluk,Healthtech
Godof Hospitals,Healthtech
RoomsTonite,Travel & Hospitality
Kaaryah,Fashion & Lifestyle
Anakage,Edtech
EasyKhaana,Food & Beverage
Eckovation,Edtech
Fitcircle,Social & Community
Applop,Other
CaRPM,Other
NDTV Wedding portal,E-Commerce
Splitkart,Other
Zenatix,SaaS & Enterprise Tech
Customfurnish,E-Commerce
Vlurn,Edtech
Leaf Wearables,IoT & Hardware
Coolshare,Logistics & Transport
mFicient,SaaS & Enterprise Tech
HeyBiz,E-Commerce
Yumist,Food & Beverage
Jigsaw Academy,Edtech
JoeHukum,Other
Voxweb,Other
JumboBasket,E-Commerce
HomeStudio,E-Commerce
PropheSee,SaaS & Enterprise Tech
i2e1,Other
Holisol Logistics,Logistics & Transport
Stay Simple Resorts,Travel & Hospitality
Paynear,Other
Chillr,Other
EureQa,SaaS & Enterprise Tech
LocalCircles,Other
GetFocus,Other
UrbanClap,Logistics & Transport
OnlineRTI,Other
Powerstores,E-Commerce
Weddingz.in,E-Commerce
Intelligent Interfaces,Other
Capricoast,E-Commerce
JetSetGo,E-Commerce
Cabsguru,Logistics & Transport
Whoop,Other
BookEventz,Other
Deal Street Asia,Media & Entertainment
Streamoid,Other
Housejoy,E-Commerce
Bluebirch,Logistics & Transport
MeraDoctor,Healthtech
STAGE 3,Other
Springboard,Edtech
Eatfresh,E-Commerce
Ampere Vehicles,CleanTech & Energy
Focus Digit,E-Commerce
The News Minute,Media & Entertainment
CBREX,HR & Recruitment
TruckMandi,E-Commerce
Peppertap,Food & Beverage
KOOH Sports,Edtech
Industrybuying,E-Commerce
Zapr,Other
LatestOne,Other
PlanetGogo,Media & Entertainment
Arya.ai,SaaS & Enterprise Tech
Doctor Insta,Healthtech
MobieFit,Other
LafaLafa,Other
Mech Mocha,Other
Shotang.com,E-Commerce
CityFurnish,Real Estate & PropTech
Black White Orange,B2B & Industrial
Kolabro,Real Estate & PropTech
Canvera,Other
Town Essentials,Food & Beverage
Bumper,Other
Hotify,Other
MobiKwik,Fintech
Twigly,Food & Beverage
CityFlo,Real Estate & PropTech
Findyahan,Logistics & Transport
Sabse,SaaS & Enterprise Tech
Pokkt,Other
oibanit,E-Commerce
Stuffed,Food & Beverage
LoanBaba,E-Commerce
Deyor Rooms,Travel & Hospitality
Bidgely,CleanTech & Energy
Paytunes,Other
YourDOST,Other
BookMyBai,Other
MyIndianStay,Real Estate & PropTech
Bobble,Other
RepUp,Other
Satvacart,Food & Beverage
POPxo.com,Media & Entertainment
SparesHub,E-Commerce
Explara,Other
Soothe Healthcare,Healthtech
Yuvi Hospitality,Food & Beverage
AppVirality,Other
iStar Skill Development,Edtech
BigStylist.com,E-Commerce
Didi,Other
Skoov.com,E-Commerce
Chefs Basket,Food & Beverage
Gingercrush,Other
Delight Foods,Food & Beverage
6Degree,Fashion & Lifestyle
Grab,Logistics & Transport
Hitwicket,Other
Flashdoor,Other
Cashkaro.com,E-Commerce
Absentia,IoT & Hardware
Renowala,Other
TaskBucks,E-Commerce
CraftsVilla,E-Commerce
Julia Computing,AI & Data
StyleTag,E-Commerce
Smytten,Other
BiBox,Other
Ola,E-Commerce
Goodbox,Other
ScoopWhoop,Media & Entertainment
Hipship,Logistics & Transport
Pickrr,Logistics & Transport
Truelancer,E-Commerce
AHA Taxis,Logistics & Transport
UrbanClap,E-Commerce
SenseGiz,IoT & Hardware
PlaceofOrigin,E-Commerce
Fourseven,E-Commerce
MindTickle,SaaS & Enterprise Tech
Shopsense,E-Commerce
Medinfi,Healthtech
OUWT,Other
HeyPillow,E-Commerce
Healers At Home,Healthtech
Caravan Craft,E-Commerce
Talkoot,Social & Community
RentoMojo,Real Estate & PropTech
Medikoe,Healthtech
Stylofie,E-Commerce
ServX,B2B & Industrial
Naaptol,E-Commerce
Crayon Data,SaaS & Enterprise Tech
EarlySalary.com,Fintech
Tooler,Other
S Chand,Edtech
Stelae,SaaS & Enterprise Tech
GoQii,Other
Grofers,Food & Beverage
Pluss,Healthtech
KountMoney,E-Commerce
StayGlad,Fashion & Lifestyle
JustRide,Real Estate & PropTech
LearnOn,Edtech
Talentrack,E-Commerce
M-TAXI,Logistics & Transport
Baxi,Logistics & Transport
Superhero Brands,Other
MoMagic,Other
QikPod,E-Commerce
Butterfly Interactive,E-Commerce
Bro4U,Logistics & Transport
Indifi,Fintech
EasyFix,E-Commerce
Muvizz,Other
Abhibus,Logistics & Transport
Cleartax,Other
Shopalyst,Other
Chillr,Fintech
Voylla,E-Commerce
IndiaLends,Fintech
Rock N Shop,E-Commerce
DocPlexus,Healthtech
WorkIndia,HR & Recruitment
SportzVillage,Edtech
SportyBeans,Edtech
Welcome Cure,Other
SchoolGuru,Edtech
Naturally Yours,E-Commerce
GoJavas,Logistics & Transport
Scandid,Other
StalkBuyLove,Media & Entertainment
ZuperMeal,E-Commerce
Cube26,Other
Mobikon,SaaS & Enterprise Tech
Grabhouse,Real Estate & PropTech
Quifers,Logistics & Transport
Stockroom.io,Other
Curofy,Healthtech
Cloud Lending,Fintech
Inayo,E-Commerce
WoNoBo,Other
Kulzy,Media & Entertainment
Zeppery,Food & Beverage
Zify,Logistics & Transport
Faircent,E-Commerce
Gridle,SaaS & Enterprise Tech
Tripoto,Travel & Hospitality
Mubble,Other
Voodoo,E-Commerce
Lookup,Social & Community
AskMyGift,Other
Gaana.com,Media & Entertainment
GymTrekker,Other
Bounty App,Other
Homers.in,Real Estate & PropTech
mShipper,Logistics & Transport
BolRealty,Real Estate & PropTech
S-Cube Futuretech,SaaS & Enterprise Tech
LetsVenture,E-Commerce
Citrus Payment,Fintech
Holidify,Travel & Hospitality
PrimaSeller,SaaS & Enterprise Tech
Opinio,Logistics & Transport
Attune Technologies,Healthtech
iChef.in,Food & Beverage
Jiyo Natural,Healthtech
AgentDesks,SaaS & Enterprise Tech
White Owl Brewery,Other
MealHopper,E-Commerce
Zenify.in,Real Estate & PropTech
Stockal,Fintech
Medd,Healthtech
Leaping Caravan,Food & Beverage
Frsh,Food & Beverage
Qik Stay,Travel & Hospitality
Parcelled,Logistics & Transport
AlmaMapper,Social & Community
Flexing It,E-Commerce
Netmeds.com,Healthtech
Razorpay,Fintech
Jombay,SaaS & Enterprise Tech
Happitoo,Other
Roadrunnr,Logistics & Transport
Simpli5d,Other
ORIGA Leasing,Other
Smartivity.in,Edtech
UrDoorStep,Food & Beverage
Tavaga,Fintech
ZopHop,Other
Niki.ai,E-Commerce
Instavans,Logistics & Transport
LiftO,Logistics & Transport
TinyOwl,Food & Beverage
Toppr.com,Edtech
Kleeto,Other
BeaconsTalk,Media & Entertainment
Jugnoo,Other
TOFlo,Fintech
FXMartIndia,Fintech
Stylecracker,Other
Luxuryhues,E-Commerce
HolaChef,Food & Beverage
Zivame,E-Commerce
Capillary Tech,SaaS & Enterprise Tech
Jobspire,HR & Recruitment
Vistaar Finance,Fintech
HiJinny,E-Commerce
Clapsnslaps,Other
Blubox,E-Commerce
RoomCentral,SaaS & Enterprise Tech
YouthKiAwaaz,Media & Entertainment
Sahayog Dairy,Other
MockBank,Other
ReportBee,Edtech
GuruG Learning,Other
OnlineTyari,Other
The/Nudge Foundation,Other
FitMeIn,Other
Envoged,E-Commerce
Renomania,Real Estate & PropTech
CredR,E-Commerce
YatraGenie,Logistics & Transport
CanvasFlip,Other
Shadowfax,Logistics & Transport
UE Life Sciences,Other
Coverfox,Fintech
MoEngage,SaaS & Enterprise Tech
Tea Trails,Other
Room on Call,E-Commerce
FYNE,E-Commerce
ChaiPoint,Food & Beverage
WedmeGood.com,Other
XSTOK,E-Commerce
UniLog,E-Commerce
Paintcollar,E-Commerce
Bueno,Food & Beverage
Plabro,Real Estate & PropTech
CureJoy,Healthtech
Briston Technomach,IoT & Hardware
LabStreet,Healthtech
DailyNinja,Logistics & Transport
Portea Medical,Healthtech
Neotrade Analytics,Fintech
DishCo,Food & Beverage
ConnectAbank,Fintech
VillFarm,AgriTech
Bestdealfinance,Fintech
GameXS.in,E-Commerce
The Man Company,E-Commerce
Virtual Logic,IoT & Hardware
Furdo,Real Estate & PropTech
LogiNext,Logistics & Transport
Korra,Fashion & Lifestyle
Credihealth,Healthtech
Amigobulls,Fintech
SilverPush,IoT & Hardware
Juggernaut,Media & Entertainment
InnerChef,Food & Beverage
Quintype,Media & Entertainment
Capabiliti,Other
Fourth Partner Energy,CleanTech & Energy
Licious,Other
TravelKhana,Food & Beverage
Inmobi,Media & Entertainment
Hugefly,E-Commerce
Brigge,Social & Community
Zakoopi,Fashion & Lifestyle
LoanCircle,E-Commerce
Infoworks,AI & Data
RedDoorz,Real Estate & PropTech
FirstTouch,Other
Eywa Media,Other
Ressy,Food & Beverage
Cuelearn,Edtech
Connect India,E-Commerce
The Home Salon,Healthtech
Jusride,Real Estate & PropTech
Oyorooms,Real Estate & PropTech
Glowship,E-Commerce
Wizrocket,SaaS & Enterprise Tech
Pickingo,Logistics & Transport
Grex,Other
Zo Rooms,Travel & Hospitality
Doormint,Logistics & Transport
NightStay,Travel & Hospitality
Zocalo,Real Estate & PropTech
Sunday Realty Solutions,Real Estate & PropTech
Klozee,Real Estate & PropTech
Appvigil,Other
practo,Healthtech
LoudShout,Other
Wetravelsolo,Travel & Hospitality
Ketto,Other
Ezetap,Other
NDTV ecommerce venture,E-Commerce
Carl\\xe2\\x80\\x99s Jr,Food & Beverage
EasyRewardz,Other
GIBSS,CleanTech & Energy
StoreMore.in,Fashion & Lifestyle
MyTaxiIndia,Logistics & Transport
eSadar,E-Commerce
Actionable Analytics,Edtech
MyPoolin,Social & Community
NearBuy (previously\\xc2\\xa0 groupon India),E-Commerce
Inkmonk,E-Commerce
ToneTag,Fintech
Grey Orange,Real Estate & PropTech
Livspace,Real Estate & PropTech
WOW! MOMO,Food & Beverage
RainCan,Food & Beverage
Allygrow Technologies,B2B & Industrial
Infogain,Other
OneAssist,Fintech
BigBasket,Food & Beverage
Sheroes,HR & Recruitment
Scripbox,Fintech
etaout,E-Commerce
IFMR Holdings,Fintech
Massblurb,SaaS & Enterprise Tech
Agrostar,AgriTech
VoxWeb,Other
Trukky,Logistics & Transport
VanityCube,Fashion & Lifestyle
Edu4Share,Edtech
YourStory,Other
Sampurnearth,CleanTech & Energy
Orobind,Edtech
Fixy,Other
MSM Box,Fashion & Lifestyle
ShadowFax,Logistics & Transport
Gadgets 360,E-Commerce
Roposo,Fashion & Lifestyle
IntelligenceNODE,SaaS & Enterprise Tech
HyperVerge,Edtech
Twyst,Other
IDfy,Other
Zoojoo.be,Healthtech
Fashionove,Fashion & Lifestyle
TimeSaverz,Logistics & Transport
Envoged,Fashion & Lifestyle
MebelKart,E-Commerce
LabsAdvisor,E-Commerce
Flatpebble,E-Commerce
Bluegape.com,Other
ePoise,HR & Recruitment
Jolly Food Fellow,Food & Beverage
BookMeIn,Other
iZofy,Other
rBus,Other
Qyk App,Other
EazyDiner,Food & Beverage
RevX,SaaS & Enterprise Tech
ICustomMadeIt,E-Commerce
PickMyLaundry,Other
Belita,Fashion & Lifestyle
EzySolare,E-Commerce
FoodTalkIndia,Food & Beverage
InstaSafe,SaaS & Enterprise Tech
Eazy Coach,E-Commerce
Djubo.com,SaaS & Enterprise Tech
BetterButter.in,Food & Beverage
Vyomo,E-Commerce
RollMafia,Food & Beverage
iamwire,Media & Entertainment
DropKaffe,Logistics & Transport
Reverie,SaaS & Enterprise Tech
Infinite Analytics,AI & Data
Retigence Technologies,Other
Cloudcherry Analytics,SaaS & Enterprise Tech
HandyHome,Logistics & Transport
iDreamCareer,Edtech
NxtGen,Other
BankBazaar,Fintech
Gozoomo,E-Commerce
Zenatix,IoT & Hardware
CultureAlley,Edtech
Goqii,E-Commerce
Elanic,E-Commerce
Stitchwood,E-Commerce
Urban Tailor,Other
ConfirmtTkt,Other
Paper Boat,Food & Beverage
getNow,E-Commerce
Wudstay,Real Estate & PropTech
Liases Foras,Real Estate & PropTech
Eatlo,Food & Beverage
Quinto,Food & Beverage
Saavn,Media & Entertainment
Flytxt,SaaS & Enterprise Tech
Axtria,SaaS & Enterprise Tech
33Coupons,Other
Ampere,CleanTech & Energy
Hopping Chef,Food & Beverage
Collectabillia,Media & Entertainment
Lybrate,Healthtech
Zoomcar,Real Estate & PropTech
\\xc2\\xa0News in shorts,Media & Entertainment
\\xc2\\xa0Bluestone,Fashion & Lifestyle
\\xc2\\xa0Shopsity,Fashion & Lifestyle
\\xc2\\xa0Notesgen,E-Commerce
\\xc2\\xa0Infinity Assurance,Other
\\xc2\\xa0Footprints Education,Edtech
\\xc2\\xa0Loylty Rewards,Other
\\xc2\\xa0Ameyo,SaaS & Enterprise Tech
\\xc2\\xa0Mamagoto,Food & Beverage
\\xc2\\xa0Satvacart,Food & Beverage
MySmartPrice,Other
Zenify,Real Estate & PropTech
Boxmyspace,Other
HackerRank,HR & Recruitment
WickedRide,Real Estate & PropTech
WoWexpress,Logistics & Transport
Oyo Rooms,Real Estate & PropTech
Mobikon,Food & Beverage
InstaLively.com,Media & Entertainment
QuikWallet,Fintech
Omnikart,E-Commerce
Innoviti,Fintech
ZenRadius,HR & Recruitment
Joy by nature,E-Commerce
Iqlect,SaaS & Enterprise Tech
deGustibus,Food & Beverage
Nestaway,Real Estate & PropTech
Mswipe,Fintech
Myonsto,Other
iCrushiFlush,Social & Community
HolidayIQ,Travel & Hospitality
Fitternity,E-Commerce
Quikr,Other
BroEx,Real Estate & PropTech
Shopatplaces,Fashion & Lifestyle
ManageMySpa,SaaS & Enterprise Tech
Townrush,Logistics & Transport
Locus,Logistics & Transport
Bevy,HR & Recruitment
Flipkart.com,E-Commerce
Opinio,Food & Beverage
Zimmber,Logistics & Transport
trueHb,Healthtech
Zovi.com / Little App,E-Commerce
Swajal,Other
Pipa Bella,Fashion & Lifestyle
Pragmatix,Other
Droom.in,E-Commerce
MadRat Games,Edtech
Noodle Play,Food & Beverage
Wassup,Other
Cartisan,Other
LazyLad,Food & Beverage
TripFactory,Travel & Hospitality
Prothom,Other
Bona Vita,Travel & Hospitality
Vyomo,Healthtech
Veeba Foods,Healthtech
Meritnation,Edtech
Eattreatonline,Healthtech
Glamrs,Media & Entertainment
Proviera,IoT & Hardware
Arth DesignBuild,Other
Saama,AI & Data
AllIzHealth,Healthtech
Entropy Innovations,B2B & Industrial
Propstack,SaaS & Enterprise Tech
MyTaxiIndia,Real Estate & PropTech
Arkin Net,SaaS & Enterprise Tech
Little Black Book Delhi,Fashion & Lifestyle
MyPoolin,Fintech
iCustomadeit,E-Commerce
KAARYAH,E-Commerce
Vidooly,SaaS & Enterprise Tech
Zopper,E-Commerce
kWatt Solutions,CleanTech & Energy
Jugnoo,B2B & Industrial
PosterGully,E-Commerce
Applied Solar Technologies,CleanTech & Energy
PayMango,Other
Printland,Other
Teritree,Media & Entertainment
AdStringO,SaaS & Enterprise Tech
Faircent.com,Fintech
La Renon,Healthtech
Homelane,Other
iSTAR,Edtech
Shippr,Logistics & Transport
FoodAbhi,Food & Beverage
Karma Recycling,Other
CouponRaja,Other
Babychakra,Other
Jiffstore,Food & Beverage
MyDentist,Healthtech
Moovo,Logistics & Transport
Fracktal Works,IoT & Hardware
Hansa Customer Equity,Other
CAKART.in,E-Commerce
FundsIndia.com,Fintech
Cupick,Social & Community
Tracxn,Other
Holachef,Food & Beverage
elong,HR & Recruitment
Ixigo,Travel & Hospitality
SkillAngels,Other
Vidgyor,Media & Entertainment
Banihal,Other
Goodservice,Other
Treebo,Travel & Hospitality
EduKart,E-Commerce
Healthians.com,Healthtech
LabInApp,Edtech
Syona Cosmetics,Healthtech
Sigrid Education,Edtech
Indix,SaaS & Enterprise Tech
The Porter,Logistics & Transport
Retention.ai,SaaS & Enterprise Tech
Fusion Microfinance,Fintech
Zinka,Logistics & Transport
CreditMantri,Fintech
GetMyPeon,Logistics & Transport
StayGlad,E-Commerce
AdWyze,SaaS & Enterprise Tech
Buttercups,Fashion & Lifestyle
RailYatri,Other
aagaar.com,Food & Beverage
Flatchat,Real Estate & PropTech
MyCFO,Fintech
Foodpanda,Food & Beverage
Termsheet,Other
Applicate,SaaS & Enterprise Tech
SpoonJoy,Food & Beverage
Seed Schools,Edtech
Ignis Careers,HR & Recruitment
Square Yards,Real Estate & PropTech
Fintellix,Fintech
Customer360,Other
Delhivery,E-Commerce
Box8,Food & Beverage
BuyHatke,Other
KleverKid,Edtech
Uniken,Other
GrandOpinion,Healthtech
ZapStitch,SaaS & Enterprise Tech
Mobiefit,Other
Plancess,Edtech
WorkHorse,Other
Innovaccer,AI & Data
MyCuteOffice,Real Estate & PropTech
IndianRoots.com,E-Commerce
RedPolka,Fashion & Lifestyle
Venturesity,Edtech
TheBetterIndia.com,Media & Entertainment
Awaaz De,SaaS & Enterprise Tech
Chaayos,Other
Akosha,Social & Community
Cooey,Healthtech
MeetUniv,Edtech
Inspirock,Travel & Hospitality
Crown-it,E-Commerce
Trucksfirst,Logistics & Transport
SunTerrace,CleanTech & Energy
\\xc2\\xa0Nudgespot,Other
CarDekho,Other
EveningFlavors,Other
ZenParent,Media & Entertainment
Newgen Payments,Fintech
UrbanPro,E-Commerce
Goodbox,Social & Community
Renderlogy,Real Estate & PropTech
Postman,Other
Casa2inns,Travel & Hospitality
FleetRover,Logistics & Transport
TheKarrier,Logistics & Transport
Truweight,Other
Ather Energy,CleanTech & Energy
Bluegape,Media & Entertainment
KeepTrax,Other
InstaLively,Media & Entertainment
Pricejugaad,Other
Quikr,E-Commerce
PressPlay,Travel & Hospitality
FirstCry.com,E-Commerce
Olacabs,Logistics & Transport
Gadgetwood,IoT & Hardware
Changer Mints,Fintech
Purple Squirrel,Edtech
Whatfix,Other
iMMi Life,Healthtech
ZopNow,Other
Nayi Disha,Edtech
Commeasure,Travel & Hospitality
Capricoast,Food & Beverage
LocalOye,Other
PepperTap,Food & Beverage
PolicyBazaar,Other
Taskbob,Other
Robosoft,Other
Doormint,Other
Pastiwala,Other
1mg (Healthkartplus),Healthtech
Freshdesk,Other
Sulekha.com,E-Commerce
FindYahan,E-Commerce
Eat.Shop.Love,E-Commerce
Simplilearn,Other
Craftstvilla,E-Commerce
HeadOut,E-Commerce
happay,Other
Jugnoo,Logistics & Transport
Phone Warrior,Fashion & Lifestyle
Torqus,Food & Beverage
Grab,Food & Beverage
LogicRoots,Edtech
GIBBS,CleanTech & Energy
Babajobs,HR & Recruitment
Jay Robotix,Edtech
Naaptol.com,E-Commerce
ReGlobe,Other
Icertis,SaaS & Enterprise Tech
Tracxn,SaaS & Enterprise Tech
Dazo,Food & Beverage
Tradelab,Fintech
PiQube,SaaS & Enterprise Tech
Travel Triangle,E-Commerce
