investor,startup,roundId,investmentType,amountUSD,date,year
FinTech,Aye Finance,round_23,Debt,17411265.0,2019-11-20,2019
Dream Incubator,SuperGaming,round_24,Seed,1300000.0,2019-11-12,2019
Altimeter Capital,Clumio,round_25,Series C,135000000.0,2019-11-20,2019
Sutter Hill Ventures,Clumio,round_25,Series C,135000000.0,2019-11-20,2019
Startup Buddy,eBikeGo,round_26,Seed,300000.0,2019-11-11,2019
Amour Infrastructure,Digital Mall Asia,round_27,Seed,220000000.0,2019-11-19,2019
Ackermans & van Haaren,Medikabazaar,round_28,Series B,15800000.0,2019-11-18,2019
HealthQuad,Medikabazaar,round_28,Series B,15800000.0,2019-11-18,2019
Rebright Partners,Medikabazaar,round_28,Series B,15800000.0,2019-11-18,2019
Toppan Printing,Medikabazaar,round_28,Series B,15800000.0,2019-11-18,2019
Matrix Partners,Vogo Automotive,round_29,Series B,283000000.0,2019-11-15,2019
Stellaris Venture Partners,Vogo Automotive,round_29,Series B,283000000.0,2019-11-15,2019
Kalaari Capital,Vogo Automotive,round_29,Series B,283000000.0,2019-11-15,2019
IAN Fund and DSG Consumer Partners,Furtados School of Music,round_30,,200000000.0,2019-11-19,2019
Vijay Shekhar Sharma,Paytm,round_31,Other,1000000000.0,2019-11-25,2019
Lightbox,Dunzo,round_32,Series D,45000000.0,2019-10-04,2019
Altimeter Capital,Udaan,round_33,Series D,585000000.0,2019-10-02,2019
DST Global,Udaan,round_33,Series D,585000000.0,2019-10-02,2019
Ayushmann Khurana,The Man Company,round_34,Corporate Round,,2019-10-21,2019
Matrix Partners India,FPL Technologies,round_35,Other,4500000.0,2019-09-05,2019
Sequoia India,FPL Technologies,round_35,Other,4500000.0,2019-09-05,2019
SAIF Partners,Cashflo,round_36,Series A,3300000.0,2019-09-04,2019
TIW Private Equity,Digital F5,round_37,Private Equity,6000000.0,2019-09-04,2019
Exfinity Venture Partners,3rdFlix,round_38,Pre-Series A,5000000.0,2019-09-04,2019
Breakthrough Energy Ventures,75F,round_39,Series A,18000000.0,2019-09-04,2019
Endiya Partners,Myelin Foundry,round_40,Seed,1000000.0,2019-09-04,2019
A91 Partners,Atomberg Technology,round_41,Series A,10000000.0,2019-09-04,2019
Bennett Coleman and Company Ltd (BCCL),GOQii,round_42,Series C,450000000.0,2019-09-04,2019
India Quotient,Vyapar App,round_43,Series A,5000000.0,2019-09-03,2019
Axilor Ventures,Vyapar App,round_43,Series A,5000000.0,2019-09-03,2019
SC GG India Mobility Holdings LLC,CarDekho,round_44,Series C,20000000.0,2019-08-01,2019
Sequoia India,Progcap,round_45,Series A,5000000.0,2019-08-01,2019
Azim Premji,Alteria Capital,round_47,Venture,140000000.0,2019-08-01,2019
Binny Bansal,Alteria Capital,round_47,Venture,140000000.0,2019-08-01,2019
Pine Labs Pte Ltd,Pine Labs,round_48,Corporate Round,38080000.0,2019-08-01,2019
Naspers,Meesho,round_49,Series D,125000000.0,2019-08-12,2019
MS Dhoni,Cars24,round_50,Series D,11000000.0,2019-08-13,2019
March Capital Partners,Uniphore,round_51,Series C,51000000.0,2019-08-13,2019
XL Innovate,Zendrive,round_52,Series B,37000000.0,2019-08-23,2019
Rashmi Daga (founder,Lo! Foods,round_53,Seed,500000.0,2019-08-23,2019
FreshMenu),Lo! Foods,round_53,Seed,500000.0,2019-08-23,2019
Raveen Sastry (co-founder,Lo! Foods,round_53,Seed,500000.0,2019-08-23,2019
Myntra) and Mitesh Shah (finance chief,Lo! Foods,round_53,Seed,500000.0,2019-08-23,2019
BookMyShow),Lo! Foods,round_53,Seed,500000.0,2019-08-23,2019
RPS Ventures,Tala,round_54,Series D,110000000.0,2019-08-23,2019
Tiger Global Management,INDwealth,round_55,Venture,15000000.0,2019-08-22,2019
One97 Communications Ltd.,HungerBox,round_56,Series C,6590000.0,2019-08-21,2019
Growth DNA,AdmitKard,round_57,Seed,1000000.0,2019-08-23,2019
Vir Sanghvi,Mishry Reviews,round_58,Series A,,2019-08-19,2019
Softbank Vision Fund,Grofers,round_59,Series F,70000000.0,2019-08-19,2019
Westbridge Capital,Rapido Bike Taxi,round_60,Series B,3900000000.0,2019-08-27,2019
Lok Capital,RenewBuy,round_61,Series B,19000000.0,2019-07-02,2019
IIFL Wealth,RenewBuy,round_61,Series B,19000000.0,2019-07-02,2019
WaterBridge Ventures,Atlan,round_62,Pre-Series A,2500000.0,2019-07-02,2019
Kapil Dev,WizCounsel,round_63,Angel,145000.0,2019-07-01,2019
DIG Investment Ab,Ola Cabs,round_64,Series G+,1000000.0,2019-07-03,2019
Deshe Holdings,Ola Cabs,round_64,Series G+,1000000.0,2019-07-03,2019
Samih Toukan and Hussam Khoury,Ola Cabs,round_64,Series G+,1000000.0,2019-07-03,2019
March Capital Partners,Uniphore,round_65,Series C,38080000.0,2019-07-01,2019
Artha Venture,Daalchini Technologies,round_66,Seed,500000.0,2019-07-04,2019
Qatar Investment Authority,"""BYJU\\'S""",round_67,Private Equity,150000000.0,2019-07-10,2019
Composite Capital Management,Moglix,round_68,Series D,60000000.0,2019-07-11,2019
Sequoia Capital India,Moglix,round_68,Series D,60000000.0,2019-07-11,2019
Tiger Global Management,Moglix,round_68,Series D,60000000.0,2019-07-11,2019
Ventureast,Indus OS,round_70,Series B,5750000.0,2019-07-10,2019
Blume Ventures,HealthAssure,round_71,Series A,2500000.0,2019-07-10,2019
Binny Bansal,House of Msasaba,round_72,Series A,1000000.0,2019-07-09,2019
Multiple Angel Investors,Board Infinity,round_73,Angel,319605.0,2019-07-08,2019
General Atlantic,NoBroker,round_74,Series C,51000000.0,2019-06-05,2019
Anicut Capital,Bira91,round_75,Debt,10000000.0,2019-06-04,2019
Goldman Sachs,FabHotels,round_76,,4889975.54,2019-06-03,2019
Accel Partners and Qualcomm,FabHotels,round_76,,4889975.54,2019-06-03,2019
Matrix Partners,Avail Finance,round_77,Series A,9000000.0,2019-06-03,2019
Insight Partners,BharatPe,round_78,Series B,75000000.0,2019-06-04,2019
Triton Investment Advisors,Recykal,round_79,Pre-Series A,26000000.0,2019-06-04,2019
Pidilite Industries director Ajay Parekh,Recykal,round_79,Pre-Series A,26000000.0,2019-06-04,2019
Blume Ventures and RTP Global,Agara Labs,round_80,Pre-Series A,2500000.0,2019-06-03,2019
Shell Foundation,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
DILA CAPITAL,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
Engie RDE Fund,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
EcoEnterprise Fund,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
EDFIMC (ElectriFI),Sistema.bio,round_81,,2739034.68,2019-06-06,2019
Endeavor Catalyst Fund,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
CoCapital,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
Triodos,Sistema.bio,round_81,,2739034.68,2019-06-06,2019
"Alpha Mundi, and Lendahand",Sistema.bio,round_81,,2739034.68,2019-06-06,2019
IAN Fund,Chakr Innovation,round_82,Series A,26000000.0,2019-06-06,2019
Qiming Venture Partners,Pratilipi,round_83,Series B,15109500.0,2019-06-06,2019
Nexus Venture Partners,Bolo App,round_84,Seed,430200.0,2019-06-10,2019
Tiger Global Management,OkCredit,round_85,Series A,15500000.0,2019-06-10,2019
WestBridge Capital,Biz2Credit,round_86,Series B,52000000.0,2019-06-06,2019
Alteria Capital,Vogo Automotive Pvt. Ltd.,round_87,Debt,3584000.0,2019-06-08,2019
Mumbai Angels,Leegality,round_88,Series A,3400000.0,2019-06-04,2019
Tata Sons,Ola Electric,round_89,Series A,,2019-05-06,2019
C4D Partners,Saahas Zero Waste,round_90,Series G+,868600.0,2019-05-06,2019
Indian Angel Network and other angel investors,StyleDotMe,round_91,Bridge,,2019-05-05,2019
Innov8 founder Ritesh Malik,StyleDotMe,round_91,Bridge,,2019-05-05,2019
"Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana",StyleDotMe,round_91,Bridge,,2019-05-05,2019
Goldman Sachs Investment Partners and Silicon Valley-based Accel,BlackBuck,round_92,Series D,150000000.0,2019-05-01,2019
Wellington,BlackBuck,round_92,Series D,150000000.0,2019-05-01,2019
Sequoia Capital,BlackBuck,round_92,Series D,150000000.0,2019-05-01,2019
B Capital,BlackBuck,round_92,Series D,150000000.0,2019-05-01,2019
LightStreet,BlackBuck,round_92,Series D,150000000.0,2019-05-01,2019
Sands Capital and International Finance Corporation,BlackBuck,round_92,Series D,150000000.0,2019-05-01,2019
Tiger Global Management,Zenoti,round_93,Series C,50000000.0,2019-05-02,2019
Sachin Bansal,Ather Energy,round_94,Series C,51000000.0,2019-05-28,2019
Equanimity Ventures,FreshVnF,round_95,Seed,140000000.0,2019-05-28,2019
Korea Investment Partners,GlowRoad,round_96,Series B,11500000.0,2019-05-30,2019
Vertex Ventures,GlowRoad,round_96,Series B,11500000.0,2019-05-30,2019
Sixth Sense Ventures,Bira91,round_97,Series B,5600000.0,2019-05-31,2019
Eight Roads,Kuvera,round_98,Series A,45000000.0,2019-04-16,2019
Prasid Uno Family Trust,Medlife,round_99,Private Equity,17000000.0,2019-04-12,2019
Unilever,Kabadiwala,round_100,Private Equity,430665.0,2019-04-10,2019
Beehive Capital Advisor,Kabadiwala,round_100,Private Equity,430665.0,2019-04-10,2019
ABCOM Investments,Kabadiwala,round_100,Private Equity,430665.0,2019-04-10,2019
Parekh Marine Transport,Kabadiwala,round_100,Private Equity,430665.0,2019-04-10,2019
Orchid India,Tripoto,round_101,Series B,3591375.0,2019-04-13,2019
Hornbill Orchid India Fund,Tripoto,round_101,Series B,3591375.0,2019-04-13,2019
Chiratae Ventures (formerly IDG Ventures),Tripoto,round_101,Series B,3591375.0,2019-04-13,2019
3one4 Capital,Tripoto,round_101,Series B,3591375.0,2019-04-13,2019
Lasmer NV,Tripoto,round_101,Series B,3591375.0,2019-04-13,2019
Unnamed angel investors,Azah,round_102,Seed,200000.0,2019-04-12,2019
Lightspeed India Partners,Setu,round_103,Seed,3500000.0,2019-04-11,2019
Milestone,Toppr,round_104,Debt,6320820.0,2019-04-10,2019
Supera Pte Ltd,Craftsvilla,round_105,Other,2443495.0,2019-04-10,2019
Kalyan Krishnamurthy,Unacademy,round_106,Seed / Angel,307000.0,2019-04-10,2019
Sequoia India,CleverTap,round_107,Series B,26000000.0,2019-04-11,2019
Tiger Global Management,CleverTap,round_107,Series B,26000000.0,2019-04-11,2019
Accel Partners,CleverTap,round_107,Series B,26000000.0,2019-04-11,2019
Sixth Sense Ventures,My Healthcare,round_108,Series A,3000000.0,2019-04-19,2019
BAC Acquisitions,KrazyBee,round_109,Debt,,2019-04-19,2019
Unifi AIF,KrazyBee,round_109,Debt,,2019-04-19,2019
BRD Securities,KrazyBee,round_109,Debt,,2019-04-19,2019
Northern R Capital,KrazyBee,round_109,Debt,,2019-04-19,2019
New Atlantic Ventures,Shuttl,round_110,Venture,5000000.0,2019-04-17,2019
021 Capita,Increff,round_111,Series A,3000000.0,2019-04-17,2019
Binny Bansal,Increff,round_111,Series A,3000000.0,2019-04-17,2019
India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund,FleetX,round_112,Pre-Series A,,2019-02-01,2019
Sequoia Capital and Temasek Holdings,Zilingo,round_113,Series D,226000000.0,2019-02-08,2019
EDBI,Zilingo,round_113,Series D,226000000.0,2019-02-08,2019
"Burda Principal Investments, and Sofina",Zilingo,round_113,Series D,226000000.0,2019-02-08,2019
LetsVenture,NanoClean Global,round_114,Series A,600000.0,2019-02-13,2019
PitchRight Venture,NanoClean Global,round_114,Series A,600000.0,2019-02-13,2019
91SpringBoard,NanoClean Global,round_114,Series A,600000.0,2019-02-13,2019
AL Nour International Holdings and Mark V Investments,NanoClean Global,round_114,Series A,600000.0,2019-02-13,2019
DiDi Chuxing,OyoRooms,round_115,Equity,100000000.0,2018-02-14,2018
Sequoia India,CarDekho,round_116,Series C,110000000.0,2019-01-03,2019
Hillhouse Capital,CarDekho,round_116,Series C,110000000.0,2019-01-03,2019
Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank,CarDekho,round_116,Series C,110000000.0,2019-01-03,2019
Iron Pillar,Vyome Therapeutics Inc.,round_117,Series D,22000000.0,2019-01-04,2019
Perceptive Advisors,Vyome Therapeutics Inc.,round_117,Series D,22000000.0,2019-01-04,2019
Romulus Capital and Kalaari Capital,Vyome Therapeutics Inc.,round_117,Series D,22000000.0,2019-01-04,2019
"MASSIF, a Dutch government fund",Samunnati Financial Intermediation & Services Pvt. Ltd,round_118,Debt,5000000.0,2019-01-04,2019
Stellaris Venture Partners,Manch,round_119,Seed,700000.0,2018-12-04,2018
Steadview Capital and Vy Capital.,UrbanClap Technologies Pvt. Ltd,round_120,Series D,50000000.0,2018-12-01,2018
Individual Investors,Guiddoo,round_121,Pre-Series A,800000.0,2018-12-02,2018
Individual Investors,Career Anna,round_122,Pre-Series A,572000.0,2018-12-02,2018
Omphalos Ventures India LLP,Nagpur Wholesale,round_123,Seed,143000.0,2018-12-04,2018
Info Edge,ShopKirana,round_124,Seed,2000000.0,2018-12-06,2018
AET Fund,ShopKirana,round_124,Seed,2000000.0,2018-12-06,2018
Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.,ShopKirana,round_124,Seed,2000000.0,2018-12-06,2018
Venture Highway,BuildSupply,round_125,Series A,3500000.0,2018-12-06,2018
GREE Ventures,BuildSupply,round_125,Series A,3500000.0,2018-12-06,2018
Space Matrix,BuildSupply,round_125,Series A,3500000.0,2018-12-06,2018
Individual Investors,BuildSupply,round_125,Series A,3500000.0,2018-12-06,2018
Lead Angels Network,GoDesi,round_126,Seed / Angel,138995.0,2018-11-01,2018
Norwest Venture Partners,Veritas Finance Ltd.,round_127,Series D,27799000.0,2018-11-03,2018
"CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Veritas Finance Ltd.,round_127,Series D,27799000.0,2018-11-03,2018
Shunwei Capital,Meesho,round_128,Series C,50000000.0,2018-11-06,2018
DST Partners and RPS Ventures,Meesho,round_128,Series C,50000000.0,2018-11-06,2018
RB Investments,A&R Bon Vivants,round_130,Equity,1000000.0,2018-11-08,2018
Singapore,A&R Bon Vivants,round_130,Equity,1000000.0,2018-11-08,2018
Tiger Global,Blackbuck,round_131,Series A,1000000.0,2018-11-12,2018
Mayfield Fund,MilkBAsket,round_132,Series B,1300000.0,2018-11-12,2018
Stevens Creek Ventures,DriveU,round_133,Other,1000000.0,2018-11-13,2018
Venture Catalysts,CleanseCar,round_134,Seed / Angel,500000.0,2018-11-14,2018
SoftBank Vision Fund,Automation Anywhere,round_135,Series B,300000000.0,2018-11-19,2018
Sistema Asia Fund,HealthifyMe,round_136,Series B,6000000.0,2018-11-20,2018
VC Samsung NEXT,HealthifyMe,round_136,Series B,6000000.0,2018-11-20,2018
Chiratae Ventures,HealthifyMe,round_136,Series B,6000000.0,2018-11-20,2018
Inventus Capital,HealthifyMe,round_136,Series B,6000000.0,2018-11-20,2018
Blume Ventures and Innoven Capital.,HealthifyMe,round_136,Series B,6000000.0,2018-11-20,2018
Individual investors,Genius Corner,round_137,Seed,278000.0,2018-11-21,2018
Teachers Insurance and Annuity Association (TIAA),Aavishkaar-Intellecap Group,round_138,Equity,31000000.0,2018-11-22,2018
Individual investors,Skillbox,round_139,Seed,,2018-11-22,2018
Stellaris Venture Partners and Kalaari Capital,Signzy,round_140,Series A,3400000.0,2018-11-23,2018
Rajan Anandan from Google,Signzy,round_140,Series A,3400000.0,2018-11-23,2018
"Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Signzy,round_140,Series A,3400000.0,2018-11-23,2018
Lakestar and Jungle Ventures,Engineer.ai,round_141,Series A,29500000.0,2018-11-24,2018
Softbank\\xe2\\x80\\x99s DeepCore.,Engineer.ai,round_141,Series A,29500000.0,2018-11-24,2018
Paragon Partners,InCred Finance,round_142,Private Equity,42000000.0,2018-11-25,2018
Individual Investors,InCred Finance,round_142,Private Equity,42000000.0,2018-11-25,2018
Bertelsmann India Investments,Roposo,round_143,Series B,1700000.0,2018-11-25,2018
Prashant Jaiswal,Northmist,round_144,Seed / Angel,,2018-10-01,2018
Cooperative Oikocredit,Origo Commodities India Pvt. Ltd,round_145,Seed / Angel,11000000.0,2018-10-02,2018
Caspian and Hivos-Triodos Fund,Origo Commodities India Pvt. Ltd,round_145,Seed / Angel,11000000.0,2018-10-02,2018
Ravi Viswanathan,Grover Zampa,round_146,Private Equity,8200000.0,2018-10-04,2018
ZigExN,Droom,round_147,Series E,3000000.0,2018-10-05,2018
Credence Family Office,Innov8,round_148,Pre-Series A,4000000.0,2018-10-11,2018
Sequoia Capital India,Blackbuck,round_149,Other,14680000.0,2018-10-12,2018
Fosun International,LetsTransport,round_150,Series C,12000000.0,2018-10-12,2018
Sistema Asia Fund,Netmeds,round_151,Private Equity,35000000.0,2018-09-01,2018
Sistema JSFC and Tanncam Investment,Netmeds,round_151,Private Equity,35000000.0,2018-09-01,2018
DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.,Udaan,round_152,Private Equity,225000000.0,2018-09-03,2018
Falcon Edge,Daily hunt,round_153,Private Equity,6390000.0,2018-09-03,2018
Korea Investment Partners (KIP),HappyGoEasy,round_155,Private Equity,,2018-09-04,2018
Samsung and China-based CITIC Capital and others,HappyGoEasy,round_155,Private Equity,,2018-09-04,2018
Lighthouse,Nykaa,round_156,Private Equity,157200000.0,2018-09-05,2018
KDDI\\xc2\\xa0,Mad Street Den,round_157,Private Equity,,2018-09-05,2018
Tencent,Dream11,round_158,Private Equity,100000000.0,2018-09-06,2018
Kalaari Capital and Private equity firm Multiples Alternate Asset Management,Dream11,round_158,Private Equity,100000000.0,2018-09-06,2018
Stellaris Ventures & Others,MamaEarth,round_159,Private Equity,4000000.0,2018-09-10,2018
CLP Holdings Group,AutoGrid,round_160,Private Equity,32000000.0,2018-09-11,2018
Innogy,AutoGrid,round_160,Private Equity,32000000.0,2018-09-11,2018
"\\xc3\\x98rstead, and Tenaska",AutoGrid,round_160,Private Equity,32000000.0,2018-09-11,2018
InnoVen Capital,Pharmeasy,round_161,Debt,5500000.0,2018-09-11,2018
Shunwei Capital,Upwards,round_162,Private Equity,5000000.0,2018-09-11,2018
Quotient,Upwards,round_162,Private Equity,5000000.0,2018-09-11,2018
Mayfield & Others,Upwards,round_162,Private Equity,5000000.0,2018-09-11,2018
Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund,Kissht,round_163,Private Equity,30000000.0,2018-09-12,2018
Fosun RZ Capital,Kissht,round_163,Private Equity,30000000.0,2018-09-12,2018
"Ventureast, and Endiya Partners.\\n\\n",Kissht,round_163,Private Equity,30000000.0,2018-09-12,2018
Farm To Fork,dishq,round_164,Seed / Angel,400000.0,2018-08-01,2018
Arts Alliance,dishq,round_164,Seed / Angel,400000.0,2018-08-01,2018
The Syndicate Fund,dishq,round_164,Seed / Angel,400000.0,2018-08-01,2018
Sven Hensen,dishq,round_164,Seed / Angel,400000.0,2018-08-01,2018
Zeroth and Artesian Venture Partners,dishq,round_164,Seed / Angel,400000.0,2018-08-01,2018
Axilor,HealthFin,round_165,Seed / Angel,,2018-08-01,2018
Sprout Venture Partners and others,HealthFin,round_165,Seed / Angel,,2018-08-01,2018
Xiaomi and Sequoia Capital India,Samosa Labs,round_166,Private Equity,7000000.0,2018-08-02,2018
Y Combinator,ZiffyHomes,round_167,Private Equity,120000.0,2018-08-03,2018
Fung Strategic Holdings,ShopX,round_169,Private Equity,35000000.0,2018-08-07,2018
MakeMyTrip Limited,MakeMyTrip,round_170,Private Equity,10000000.0,2018-08-07,2018
Vertex Ventures,Hansel io,round_171,Seed / Angel,4000000.0,2018-08-08,2018
Sequoia Capital India Advisors,Metro Bikes,round_172,Private Equity,12200000.0,2018-08-08,2018
Accel Partners and G Raghunandan,Metro Bikes,round_172,Private Equity,12200000.0,2018-08-08,2018
Flipkart,Phone Pe,round_173,Private Equity,66000000.0,2018-08-08,2018
Nexus Venture Partners,quizizz,round_174,Seed / Angel,3000000.0,2018-08-09,2018
Prime Venture Partners and Others,quizizz,round_174,Seed / Angel,3000000.0,2018-08-09,2018
AJ Ventures and Jain International Trade Organisation (JITO),Happy EMI,round_175,Seed / Angel,1000000.0,2018-08-09,2018
Ventureast,Inthree,round_176,Seed / Angel,4000000.0,2018-08-13,2018
Orios Venture Partners and the IAN Fund,Inthree,round_176,Seed / Angel,4000000.0,2018-08-13,2018
Nexus Venture Partners,Observe AI,round_177,Private Equity,8000000.0,2018-08-13,2018
MGV,Observe AI,round_177,Private Equity,8000000.0,2018-08-13,2018
Liquid 2 Ventures,Observe AI,round_177,Private Equity,8000000.0,2018-08-13,2018
Hack VC,Observe AI,round_177,Private Equity,8000000.0,2018-08-13,2018
Emergent Ventures and Y Combinator,Observe AI,round_177,Private Equity,8000000.0,2018-08-13,2018
Denlow Investment Trust and Beenext,EazyDiner,round_179,Private Equity,5850000.0,2018-08-17,2018
Alteria Capital,RawPressery,round_181,Debt,4800000.0,2018-08-20,2018
CDC Group plc\\xc2\\xa0,Pi Ventures,round_182,Private Equity,6000000.0,2018-08-22,2018
Hyundai,Revv,round_183,Private Equity,14270000.0,2018-08-22,2018
Edelweiss and Beenext,Revv,round_183,Private Equity,14270000.0,2018-08-22,2018
Dream Incubator,Revv,round_183,Private Equity,14270000.0,2018-08-22,2018
Sunjay Kapoor and Telama Investment,Revv,round_183,Private Equity,14270000.0,2018-08-22,2018
Xiaomi,ZestMoney,round_184,Private Equity,13400000.0,2018-08-26,2018
PayU,ZestMoney,round_184,Private Equity,13400000.0,2018-08-26,2018
Ribbit Capital and Omidyar Network,ZestMoney,round_184,Private Equity,13400000.0,2018-08-26,2018
Saama Capital,Shubh Loans,round_185,Private Equity,4200000.0,2018-08-26,2018
SRI Capital,Shubh Loans,round_185,Private Equity,4200000.0,2018-08-26,2018
"Beenext, and Pravega Ventures",Shubh Loans,round_185,Private Equity,4200000.0,2018-08-26,2018
Nexus Venture Partners,MyUpchar,round_186,Private Equity,5000000.0,2018-08-27,2018
Omidyar Network and Shunwei Capital,MyUpchar,round_186,Private Equity,5000000.0,2018-08-27,2018
Accel (formerly known as Accel Partners),Narvar,round_187,Private Equity,3000000.0,2018-08-28,2018
Y Combinator,Leena AI,round_189,Seed / Angel,,2018-07-01,2018
Ajay Relan and Vinay Mittal,Biryani By Kilo,round_190,Seed / Angel,1000000.0,2018-07-02,2018
MDI Ventures & Telkom Indonesia,Anchanto,round_191,Private Equity,4000000.0,2018-07-04,2018
Shunwei Capital,Loan Tap,round_192,Private Equity,6250000.0,,
Tuscan Ventures,Loan Tap,round_192,Private Equity,6250000.0,,
Ashish Goenka,Loan Tap,round_192,Private Equity,6250000.0,,
VC firms India Quotient and Kae Capital,Loan Tap,round_192,Private Equity,6250000.0,,
Info Edge (India) Ltd and Temasek,PolicyBazaar,round_193,Private Equity,27700000.0,2018-07-06,2018
Info Edge (India) Ltd,zippserv,round_194,Seed / Angel,440000.0,2018-07-09,2018
Insignia Ventures Partners,Groww,round_195,Seed / Angel,1100000.0,2018-07-09,2018
Lightbridge Partners & Kairos,Groww,round_195,Seed / Angel,1100000.0,2018-07-09,2018
"Avtar Monga, chief operating office at IDFC Bank",Avenue Growth,round_196,Seed / Angel,437000.0,2018-07-10,2018
Aditya Malik & Others,Avenue Growth,round_196,Seed / Angel,437000.0,2018-07-10,2018
Venture Catalysts,iNICU,round_197,Seed / Angel,,2018-07-10,2018
ResponsAbility,Kinara Capital,round_198,Private Equity,5000000.0,2018-07-10,2018
Stellaris Venture Partners,Shop 101,round_199,Private Equity,5000000.0,2018-07-10,2018
Vy Capital,Shop 101,round_199,Private Equity,5000000.0,2018-07-10,2018
"Raghunandan G, and Ramakant Sharma",Shop 101,round_199,Private Equity,5000000.0,2018-07-10,2018
Base of Pyramid Asia (BOPA) Pte Ltd,Sambandh,round_200,Private Equity,2500000.0,2018-07-11,2018
Rishi Vasudev,19th mile,round_201,Seed / Angel,180000.0,2018-07-12,2018
Excelsior Investments,19th mile,round_201,Seed / Angel,180000.0,2018-07-12,2018
Ritesh Vohra,19th mile,round_201,Seed / Angel,180000.0,2018-07-12,2018
Praveer Kumar,19th mile,round_201,Seed / Angel,180000.0,2018-07-12,2018
Prashant Gupta and Others,19th mile,round_201,Seed / Angel,180000.0,2018-07-12,2018
Brand Capital and Others,5th Vital,round_202,Seed / Angel,500000.0,2018-07-12,2018
Siddharth Agarwal,MEngage,round_203,Seed / Angel,175000.0,2018-07-13,2018
Mahavir Sharma,MEngage,round_203,Seed / Angel,175000.0,2018-07-13,2018
Amit Singal,MEngage,round_203,Seed / Angel,175000.0,2018-07-13,2018
100 Co-founders Lab and others.,MEngage,round_203,Seed / Angel,175000.0,2018-07-13,2018
Creation Investments,Ofbusiness,round_204,Private Equity,29000000.0,2018-07-17,2018
Falcon Edge,Ofbusiness,round_204,Private Equity,29000000.0,2018-07-17,2018
