investor_a,investor_b,timesCoInvested
"Beenext, and Pravega Ventures",Saama Capital,1
"Beenext, and Pravega Ventures",SRI Capital,1
Nexus Venture Partners,Omidyar Network and Shunwei Capital,1
Shunwei Capital,Tuscan Ventures,1
Ashish Goenka,Shunwei Capital,1
Shunwei Capital,VC firms India Quotient and Kae Capital,1
Ashish Goenka,Tuscan Ventures,1
Tuscan Ventures,VC firms India Quotient and Kae Capital,1
Ashish Goenka,VC firms India Quotient and Kae Capital,1
Insignia Ventures Partners,Lightbridge Partners & Kairos,1
Aditya Malik & Others,"Avtar Monga, chief operating office at IDFC Bank",1
Stellaris Venture Partners,Vy Capital,1
"Raghunandan G, and Ramakant Sharma",Stellaris Venture Partners,1
"Raghunandan G, and Ramakant Sharma",Vy Capital,1
Excelsior Investments,Rishi Vasudev,1
Rishi Vasudev,Ritesh Vohra,1
Praveer Kumar,Rishi Vasudev,1
Prashant Gupta and Others,Rishi Vasudev,1
Excelsior Investments,Ritesh Vohra,1
Excelsior Investments,Praveer Kumar,1
Excelsior Investments,Prashant Gupta and Others,1
Praveer Kumar,Ritesh Vohra,1
Prashant Gupta and Others,Ritesh Vohra,1
Prashant Gupta and Others,Praveer Kumar,1
Mahavir Sharma,Siddharth Agarwal,1
Amit Singal,Siddharth Agarwal,1
100 Co-founders Lab and others.,Siddharth Agarwal,1
Amit Singal,Mahavir Sharma,1
100 Co-founders Lab and others.,Mahavir Sharma,1
100 Co-founders Lab and others.,Amit Singal,1
Creation Investments,Falcon Edge,1
Creation Investments,Matrix Partners India and Zodius Capital,1
Falcon Edge,Matrix Partners India and Zodius Capital,1
KCK Global & Others,Kingsway FCI Fund,1
TPG Growth,The Rise Fund & Others,1
AngelList,Rahul Khanna,1
AngelList,Rajeev Arora and Ram Ramsundar.,1
Rahul Khanna,Rajeev Arora and Ram Ramsundar.,1
Hemant Luthra,Metaform Ventures,1
Metaform Ventures,Micro venture capital firm GEMS Partners and Others,1
Hemant Luthra,Micro venture capital firm GEMS Partners and Others,1
Allcargo Logistics,Navneet Education and Mahavir Agency,1
BeeNext,WEH Ventures and Sprout Ventures,1
Bharat Innovation,IDFC-Parampara Capital,1
Arthavida Ventures,Bharat Innovation,1
Bharat Innovation,Jitendra Gupta & Others,1
Arthavida Ventures,IDFC-Parampara Capital,1
IDFC-Parampara Capital,Jitendra Gupta & Others,1
Arthavida Ventures,Jitendra Gupta & Others,1
Accel Partners,IDG Ventures,5
IDG Ventures,Kalaari Capital and Others,1
Accel Partners,Kalaari Capital and Others,1
Norwest Venture Partners,TPG,1
Sequoia Capital & Matrix Partners,TPG,1
Norwest Venture Partners,Sequoia Capital & Matrix Partners,1
Puneet Dalmia & Others,Sabre Partners,1
Alok Divatia,Bhairavi Jani,1
Bhairavi Jani,Namrata Kaul,1
Bhairavi Jani,Sohail Hashemi,1
Aijaz Saleem,Bhairavi Jani,1
Alok Divatia,Namrata Kaul,1
Alok Divatia,Sohail Hashemi,1
Aijaz Saleem,Alok Divatia,1
Namrata Kaul,Sohail Hashemi,1
Aijaz Saleem,Namrata Kaul,1
Aijaz Saleem,Sohail Hashemi,1
Anil Advani,Pramod Jain,1
Amrendra Reddy and Manish Satnaliwala.,Anil Advani,1
Amrendra Reddy and Manish Satnaliwala.,Pramod Jain,1
SAIF Partners,Sequoia Capital India,2
Sequoia Capital India,Y Combinator and Venture Highway,1
SAIF Partners,Y Combinator and Venture Highway,1
CapitalG,SAIF Partners and LGT Impact Ventures,1
Spiral Ventures,Subho Ray and Samir Kumar,1
LetsVenture,Rajan Anandan,1
Basab Pradhan,LetsVenture,1
LetsVenture,Vivek Khare and Bijoy George,1
Basab Pradhan,Rajan Anandan,1
Rajan Anandan,Vivek Khare and Bijoy George,1
Basab Pradhan,Vivek Khare and Bijoy George,1
LetsVenture & Others,Shorooq Investments,1
Accel Partners,Y Combinator and others.,1
Sequoia India,Y Combinator and others.,1
Accel Partners & Raghunandan Gangappa,Sequoia Capital,1
Accel Partners,IDG Venture,1
Accel Partners,"Endiya Partners, pi Ventures",2
Accel Partners,VH Capital,2
Accel Partners,Axilor Ventures and Binny Bansal,1
"Endiya Partners, pi Ventures",IDG Venture,1
IDG Venture,VH Capital,1
Axilor Ventures and Binny Bansal,IDG Venture,1
"Endiya Partners, pi Ventures",VH Capital,2
Axilor Ventures and Binny Bansal,"Endiya Partners, pi Ventures",1
Axilor Ventures and Binny Bansal,VH Capital,1
B Capital,International Finance Corporation (IFC),1
Accel Partners and IDG Ventures,B Capital,1
Accel Partners and IDG Ventures,International Finance Corporation (IFC),1
IL&FS Private Equity,Kae Capital & Others,1
Behram Vakil and Jerxis Vandrevala,Unitus Ventures,1
Harsh Mariwala,Sunil Munjal,2
Dalip Pathak and Others,Sunil Munjal,2
Dalip Pathak and Others,Harsh Mariwala,2
Prime Venture Partners,Stellaris Venture Partners and Mayur Abhaya Srisrimal,1
Kalaari Capital,Unilever Ventures and Blume Ventures,1
Insistor,Oikocredit,1
Ashish Kacholi,S Chand Group,1
Amazon,Ashish Dhawan,1
Amazon,Catamaran Ventures,1
Amazon,NR Narayana Murthy.,1
Ashish Dhawan,Catamaran Ventures,1
Ashish Dhawan,NR Narayana Murthy.,1
Catamaran Ventures,NR Narayana Murthy.,1
Mitali Pawar,Prashant Mehta,1
Nikhil G and Bhavesh P,Prashant Mehta,1
Prashant Mehta,R Ranganathan,1
ONCOTRUST and Medintel Services Pvt. Ltd,Prashant Mehta,1
Mitali Pawar,Nikhil G and Bhavesh P,1
Mitali Pawar,R Ranganathan,1
Mitali Pawar,ONCOTRUST and Medintel Services Pvt. Ltd,1
Nikhil G and Bhavesh P,R Ranganathan,1
Nikhil G and Bhavesh P,ONCOTRUST and Medintel Services Pvt. Ltd,1
ONCOTRUST and Medintel Services Pvt. Ltd,R Ranganathan,1
Kalaari Capital,Omidyar Network and Accion Venture Labs,1
Bill & Melinda Gates Foundation,IndusAge Partners,1
IndusAge Partners,Qualcomm Venture,1
ABB Technology Ventures,IndusAge Partners,1
IndusAge Partners,Omnivore,1
Blume Ventures,IndusAge Partners,1
IndusAge Partners,Venture Highway and BEENEXT,1
Bill & Melinda Gates Foundation,Qualcomm Venture,1
ABB Technology Ventures,Bill & Melinda Gates Foundation,1
Bill & Melinda Gates Foundation,Omnivore,1
Bill & Melinda Gates Foundation,Blume Ventures,1
Bill & Melinda Gates Foundation,Venture Highway and BEENEXT,1
ABB Technology Ventures,Qualcomm Venture,1
Omnivore,Qualcomm Venture,1
Blume Ventures,Qualcomm Venture,1
Qualcomm Venture,Venture Highway and BEENEXT,1
ABB Technology Ventures,Omnivore,1
ABB Technology Ventures,Blume Ventures,1
ABB Technology Ventures,Venture Highway and BEENEXT,1
Blume Ventures,Omnivore,1
Omnivore,Venture Highway and BEENEXT,1
Blume Ventures,Venture Highway and BEENEXT,1
Accion Venture Lab,YourNest Venture Capital And Other Angel Investors,1
Exfinity Venture,Saha fund Partners,1
Arihant Patni of Patni Family Office,Exfinity Venture,1
Anjali Bansal,Exfinity Venture,1
Exfinity Venture,Shardul Amarchand Mangaldas,1
Exfinity Venture,Satish Khanna and Taparia family office.,1
Arihant Patni of Patni Family Office,Saha fund Partners,1
Anjali Bansal,Saha fund Partners,1
Saha fund Partners,Shardul Amarchand Mangaldas,1
Saha fund Partners,Satish Khanna and Taparia family office.,1
Anjali Bansal,Arihant Patni of Patni Family Office,1
Arihant Patni of Patni Family Office,Shardul Amarchand Mangaldas,1
Arihant Patni of Patni Family Office,Satish Khanna and Taparia family office.,1
Anjali Bansal,Shardul Amarchand Mangaldas,1
Anjali Bansal,Satish Khanna and Taparia family office.,1
Satish Khanna and Taparia family office.,Shardul Amarchand Mangaldas,1
Vishal Bali,Yogesh Misra,1
Thomas Assessments and others,Vishal Bali,1
Thomas Assessments and others,Yogesh Misra,1
ChrysCapital,Existing investors,1
ChrysCapital,Elevar Equity,1
ChrysCapital,LGT Impact,1
ChrysCapital,Omidyar Network and Kaizen Private Equity also participated in the round,1
Elevar Equity,Existing investors,1
Existing investors,LGT Impact,1
Existing investors,Omidyar Network and Kaizen Private Equity also participated in the round,1
Elevar Equity,LGT Impact,1
Elevar Equity,Omidyar Network and Kaizen Private Equity also participated in the round,1
LGT Impact,Omidyar Network and Kaizen Private Equity also participated in the round,1
Accel Partners,Tiger Global And Others,1
Amrish Rau,Matrix Partner,1
Investopad,Matrix Partner,1
Digital Currency Group,Matrix Partner,1
Hinduja Group,Matrix Partner,1
Lightspeed India,Matrix Partner,1
Eight Innovate,Matrix Partner,1
Amit Ranjan,Matrix Partner,1
Matrix Partner,Prashant Malik and others,1
Amrish Rau,Investopad,1
Amrish Rau,Digital Currency Group,1
Amrish Rau,Hinduja Group,1
Amrish Rau,Lightspeed India,1
Amrish Rau,Eight Innovate,1
Amit Ranjan,Amrish Rau,1
Amrish Rau,Prashant Malik and others,1
Digital Currency Group,Investopad,1
Hinduja Group,Investopad,1
Investopad,Lightspeed India,1
Eight Innovate,Investopad,1
Amit Ranjan,Investopad,1
Investopad,Prashant Malik and others,1
