investor_a,investor_b,timesCoInvested
Madhusudhan Jujare & Others,Satish Vasudeva,1
Exfinity Venture Partners & Others,Saha Fund,1
Kamal Chabra,Riju Gupta,1
Jaspreet Bindra,Outbox Ventures,1
Arjun Malhotra,Outbox Ventures,1
Outbox Ventures,Rohan Malhotra,1
Outbox Ventures,Sidharth Rao,1
Outbox Ventures,Rakesh Agrawal,1
Arjun Malhotra,Jaspreet Bindra,1
Jaspreet Bindra,Rohan Malhotra,1
Jaspreet Bindra,Sidharth Rao,1
Jaspreet Bindra,Rakesh Agrawal,1
Arjun Malhotra,Rohan Malhotra,1
Arjun Malhotra,Sidharth Rao,1
Arjun Malhotra,Rakesh Agrawal,1
Rohan Malhotra,Sidharth Rao,1
Rakesh Agrawal,Rohan Malhotra,1
Rakesh Agrawal,Sidharth Rao,1
Anupam Mittal,ah! Ventures,1
Kunal Shah,ah! Ventures,1
Sandeep Tandon,ah! Ventures,1
Dheeraj Jain,ah! Ventures,1
Rohit Chokhani,ah! Ventures,1
Anupam Mittal,Sandeep Tandon,2
Anupam Mittal,Rohit Chokhani,1
Dheeraj Jain,Kunal Shah,2
Kunal Shah,Rohit Chokhani,1
Dheeraj Jain,Sandeep Tandon,2
Rohit Chokhani,Sandeep Tandon,1
Dheeraj Jain,Rohit Chokhani,1
Blume Ventures,Sachin Bansal,1
Blume Ventures,Vijay Shekhar Sharma,1
Binny Bansal,Blume Ventures,1
Blume Ventures,\\xc2\\xa0 Kunal Shah,1
Ashish Tulsian,Blume Ventures,1
Sachin Bansal,Vijay Shekhar Sharma,1
Sachin Bansal,\\xc2\\xa0 Kunal Shah,1
Sachin Bansal,Sandeep Tandon,1
Ashish Tulsian,Sachin Bansal,1
Binny Bansal,Vijay Shekhar Sharma,1
Vijay Shekhar Sharma,\\xc2\\xa0 Kunal Shah,1
Sandeep Tandon,Vijay Shekhar Sharma,1
Ashish Tulsian,Vijay Shekhar Sharma,1
Binny Bansal,\\xc2\\xa0 Kunal Shah,1
Binny Bansal,Sandeep Tandon,1
Ashish Tulsian,Binny Bansal,1
Sandeep Tandon,\\xc2\\xa0 Kunal Shah,1
Ashish Tulsian,\\xc2\\xa0 Kunal Shah,1
Ashish Tulsian,Sandeep Tandon,1
Kamal Puri,Vineet Taneja,1
Sandeep Tandon,Tracxn Labs,1
Fireside Ventures,Investopad,1
Fireside Ventures,P39 Capital,1
Anupam Mittal,Fireside Ventures,1
Fireside Ventures,Pranay Jivrajka,1
Fireside Ventures,Maninder Gulati,1
Abhinav Sinha,Fireside Ventures,1
Investopad,P39 Capital,1
Anupam Mittal,Investopad,1
Investopad,Pranay Jivrajka,1
Investopad,Maninder Gulati,1
Abhinav Sinha,Investopad,1
Anupam Mittal,P39 Capital,1
P39 Capital,Pranay Jivrajka,1
Maninder Gulati,P39 Capital,1
Abhinav Sinha,P39 Capital,1
Anupam Mittal,Pranay Jivrajka,1
Anupam Mittal,Maninder Gulati,1
Abhinav Sinha,Anupam Mittal,1
Maninder Gulati,Pranay Jivrajka,1
Abhinav Sinha,Pranay Jivrajka,1
Abhinav Sinha,Maninder Gulati,1
Devendra Rane,Globevestor Angel Fund,1
Globevestor Angel Fund,Ravi Jain,1
Globevestor Angel Fund,\\xc2\\xa0 Arpan Nagdeve,1
Devendra Rane,Ravi Jain,1
Devendra Rane,\\xc2\\xa0 Arpan Nagdeve,1
Ravi Jain,\\xc2\\xa0 Arpan Nagdeve,1
Girish Mathrubootham,Kunal Shah & Sandeep Tandon,1
Anand Chandrasekaran,Kunal Shah & Sandeep Tandon,1
Dr. Abhishek Pandey,Jaysukh Sapra,1
Bessemer Venture Partners,Jungle Ventures,1
Bessemer Venture Partners,Helion Ventures,1
Helion Ventures,Jungle Ventures,1
Ashutosh Lawania,Rajul Jain,1
Ashutosh Lawania,Badal Malick,1
Ashutosh Lawania,Rishi Gupta & Others,1
Badal Malick,Rajul Jain,1
Rajul Jain,Rishi Gupta & Others,1
Badal Malick,Rishi Gupta & Others,1
IDG Ventures,Sequoia Capital,2
GREE Ventures,IDG Ventures,1
GREE Ventures,Sequoia Capital,1
Raghav Bahl,Sarbvir Singh,1
3one4 Capital,Tracxn Labs,1
3one4 Capital,Aaruha Technology Fund,1
3one4 Capital,Endiya Partners,1
Aaruha Technology Fund,Tracxn Labs,1
Endiya Partners,Tracxn Labs,1
Aaruha Technology Fund,Endiya Partners,1
SD Ventures,Sequoia Capital,1
Sequoia Capital,Vistaar Investment Advisors Pvt. Ltd.,1
SD Ventures,Vistaar Investment Advisors Pvt. Ltd.,1
IIFL Wealth Management Seed Venture Fund,Omidyar Network,1
IIFL Wealth Management Seed Venture Fund,Khosla Impact,1
Aspada,IIFL Wealth Management Seed Venture Fund,1
Khosla Impact,Omidyar Network,1
Aspada,Omidyar Network,1
Aspada,Khosla Impact,1
Network 18,Stripes Group,1
Accel Partners,Stripes Group,1
SAIF Partners,Stripes Group,1
Accel Partners,Network 18,1
Network 18,SAIF Partners,1
Accel Partners,SAIF Partners,4
Rohit Bansal,Sequoia Capital,2
Kunal Bahl,Sequoia Capital,2
Sandeep Tandon,Sequoia Capital,2
Kunal Shah,Sequoia Capital,1
Sequoia Capital,Zishaan Hayath,1
Sequoia Capital,\\xc2\\xa0 Abhishek Jain,1
Rohit Bansal,Sandeep Tandon,1
Kunal Shah,Rohit Bansal,1
Rohit Bansal,Zishaan Hayath,2
Rohit Bansal,\\xc2\\xa0 Abhishek Jain,1
Kunal Bahl,Sandeep Tandon,1
Kunal Bahl,Kunal Shah,1
Kunal Bahl,Zishaan Hayath,2
Kunal Bahl,\\xc2\\xa0 Abhishek Jain,1
Sandeep Tandon,Zishaan Hayath,1
Sandeep Tandon,\\xc2\\xa0 Abhishek Jain,1
Kunal Shah,Zishaan Hayath,1
Kunal Shah,\\xc2\\xa0 Abhishek Jain,1
Zishaan Hayath,\\xc2\\xa0 Abhishek Jain,1
Gaurav Singhvi,Zaffiro Ventures,1
Kirthiga Reddy,Renuka Ramanath,1
Cherry Tin,Kirthiga Reddy,1
Cherry Tin,Renuka Ramanath,1
Kalaari Capital,"Qualcomm Ventures, ru-Net",1
Kalaari Capital,Zodius Technology Opportunities Fund,1
"Qualcomm Ventures, ru-Net",Zodius Technology Opportunities Fund,1
500 Startups,AVG Group,1
Alex Chua,Rahul Garg,1
India Quotient,Kalaari Capital,2
Blume Ventures & IvyCap Ventures,JSW Ventures,1
JSW Ventures,Omidyar Network,1
JSW Ventures,Sattva Capital,1
JSW Ventures,Venture Works,1
Omidyar Network,Sattva Capital,1
Omidyar Network,Venture Works,1
Sattva Capital,Venture Works,1
Harvard Angels,Stanford Angels & Entrepreneurs,1
Mumbai Angels,\\xc2\\xa0 Times Internet,1
Ashish Mahajan,Sarvesh Sharma,1
Rishi Parti,Yogesh Bansal,1
Hyderabad Angels,Tracxn Labs,1
Gaurav Bhalotia,Tracxn Labs,1
Hyderabad Angels,Kunal Shah,1
Gaurav Bhalotia,Hyderabad Angels,2
Gaurav Bhalotia,Kunal Shah,1
Accel Partners,IDG Ventures India,1
Jaspal Bindra,Parth Jindal,1
Plug and Play Tech Center,Steelhead Ventures & Others,1
Sumit Jain,Sumit Jain,1
Anurag Gupta,Sumit Jain,2
Sumit Jain,Varun Khanna,2
Faraz Khan,Sumit Jain,2
Anurag Gupta,Varun Khanna,1
Anurag Gupta,Faraz Khan,1
Faraz Khan,Varun Khanna,1
Abhijit Avasthi,Karan Chellani,1
Abhijit Avasthi,SP Vijay,1
Karan Chellani,SP Vijay,1
Innoven Capital,Times Internet,1
Matrix Partners India,Times Internet,1
Qualcomm Ventures,Times Internet,2
Innoven Capital,Matrix Partners India,1
Innoven Capital,Qualcomm Ventures,1
Matrix Partners India,Qualcomm Ventures,1
IIFL and Accel Partners,Kalaari Capital,1
IIFL and Accel Partners,IvyCap Ventures,1
IIFL and Accel Partners,RB Investments,1
IvyCap Ventures,Kalaari Capital,1
Kalaari Capital,RB Investments,1
IvyCap Ventures,RB Investments,1
Abhishek Agarwal,Krishnakumar Nataraj,1
Abhishek Agarwal,Sarath Sura,1
Abhishek Agarwal,Shanti Mohan,1
Abhishek Agarwal,Sarthak and Nihit Agarwal,1
Abhishek Agarwal,Suramya Gupta,1
Krishnakumar Nataraj,Sarath Sura,1
Krishnakumar Nataraj,Shanti Mohan,1
Krishnakumar Nataraj,Sarthak and Nihit Agarwal,1
Krishnakumar Nataraj,Suramya Gupta,1
Sarath Sura,Shanti Mohan,1
Sarath Sura,Sarthak and Nihit Agarwal,1
Sarath Sura,Suramya Gupta,1
Sarthak and Nihit Agarwal,Shanti Mohan,1
Shanti Mohan,Suramya Gupta,1
Sarthak and Nihit Agarwal,Suramya Gupta,1
DSG Consumer Partners,Verlinvest,1
Beenext,Lightbox,1
Digital Garage,Lightbox,1
Beenos,Lightbox,1
Sequoia Capital,Unitus Seed Fund,1
Fenqile,Yeahmobi,1
Microsoft Ventures,Salesforce Ventures,1
Kae Capital,Kunal Shah,1
Kae Capital,Sandeep Tandon,2
Aneesh Reddy,Kunal Shah,1
Kunal Shah,Venkat Tadanki,1
Krishna Mehra,Kunal Shah,1
Amit Rathore,Kunal Shah,1
Aneesh Reddy,Tracxn Labs,2
Aneesh Reddy,Venkat Tadanki,1
Aneesh Reddy,Krishna Mehra,1
Amit Rathore,Aneesh Reddy,1
Tracxn Labs,Venkat Tadanki,1
Krishna Mehra,Tracxn Labs,1
Amit Rathore,Tracxn Labs,1
Krishna Mehra,Venkat Tadanki,1
Amit Rathore,Venkat Tadanki,1
Amit Rathore,Krishna Mehra,1
Anand Singh,Ankit Maheshwari,1
Priti Padhy,Ritesh Dwivedy,1
CIO Angel Network,Indian Angel Network,1
Mohit Satyanand,Vivek Joshi,1
Amit Banati,Vivek Joshi,1
Arun Khanna,Vivek Joshi,1
Amit Banati,Mohit Satyanand,1
Arun Khanna,Mohit Satyanand,1
Amit Banati,Arun Khanna,1
Bhavish Aggarwal,Ratan Tata,1
Ankit Bhati,Ratan Tata,1
Binny Bansal,Ratan Tata,1
Girish Mathrubootham,Ratan Tata,1
Bhavish Aggarwal,Girish Mathrubootham,1
Ankit Bhati,Girish Mathrubootham,1
Binny Bansal,Girish Mathrubootham,1
Fortisure Ventures,You & Mr Jones,1
Diaz Nesamoney,You & Mr Jones,1
Diaz Nesamoney,Fortisure Ventures,1
Blume Ventures & Vaibhav Domkundwar,Saama Capital,1
Ravi Adusumalli,SAIF Partners,1
Blume Ventures,New Enterprise Associates (NEA),1
Amit Khanna (LetsVenture),Sanjay Verma,1
Concur Technologies,Gund Investment,1
Orios Venture Partners,RB Investments PTE Ltd,1
Fusion Tech Ventures,Rahul Kirloskar,1
Adi Saravanan,Rahul Kirloskar,1
Pravin Dongre,Rahul Kirloskar,1
Mahendra Doshi,Rahul Kirloskar,1
Adi Saravanan,Fusion Tech Ventures,1
Fusion Tech Ventures,Pravin Dongre,1
Fusion Tech Ventures,Mahendra Doshi,1
Adi Saravanan,Pravin Dongre,1
Adi Saravanan,Mahendra Doshi,1
Mahendra Doshi,Pravin Dongre,1
Purvi Ventures,Rajul Garg,1
Purvi Ventures,Vipin Arora,1
Rajul Garg,Vipin Arora,1
Jitendra Gupta,Pankaj Tripathi,1
Aprameya Radhakrishnan,SAIF Partners,1
Phanindra Sama,SAIF Partners,1
SAIF Partners,Subba Rao Telidevara,1
SAIF Partners,Vibhu Garg,1
Paula Ravindra Mariwala,SAIF Partners,1
Gaurav Bhalotia,SAIF Partners,1
Aprameya Radhakrishnan,Phanindra Sama,1
Aprameya Radhakrishnan,Subba Rao Telidevara,1
Aprameya Radhakrishnan,Vibhu Garg,1
Aprameya Radhakrishnan,Paula Ravindra Mariwala,1
Aprameya Radhakrishnan,Gaurav Bhalotia,1
Phanindra Sama,Subba Rao Telidevara,1
Phanindra Sama,Vibhu Garg,1
Paula Ravindra Mariwala,Phanindra Sama,1
Gaurav Bhalotia,Phanindra Sama,1
Subba Rao Telidevara,Vibhu Garg,1
Paula Ravindra Mariwala,Subba Rao Telidevara,1
Gaurav Bhalotia,Subba Rao Telidevara,1
Paula Ravindra Mariwala,Vibhu Garg,1
Gaurav Bhalotia,Vibhu Garg,1
Gaurav Bhalotia,Paula Ravindra Mariwala,1
Amit Banka,Kanodia family,1
Bertelsmann India Investments,Mayfield India,1
Bertelsmann India Investments,Saama Capital,1
Bertelsmann India Investments,India Quotient,1
Mayfield India,Saama Capital,1
India Quotient,Mayfield India,1
India Quotient,Saama Capital,1
TV Mohandas Pai,Uniqorn Ventures Fund,1
S Somasegar,Uniqorn Ventures Fund,1
S Somasegar,TV Mohandas Pai,1
Accel Partners & existing investors,Omidyar Network,1
Fauzan Rahim,Niloufer Dundh,1
Balamurugan Mani,Niloufer Dundh,1
Balamurugan Mani,Fauzan Rahim,1
GMO Payment Gateway,MediaTek,1
Hermes Group,Shruth & Smith Group,1
Hrishi Oberoi,Rohan Angrish,1
Rahul Mehta,Rohan Angrish,1
Kapil Hetamsaria,Rohan Angrish,1
Pranav Dedhia,Rohan Angrish,1
Hrishi Oberoi,Rahul Mehta,1
Hrishi Oberoi,Kapil Hetamsaria,1
Hrishi Oberoi,Pranav Dedhia,1
Kapil Hetamsaria,Rahul Mehta,1
Pranav Dedhia,Rahul Mehta,1
Kapil Hetamsaria,Pranav Dedhia,1
International Finance Corp,TPG Growth,1
Adveq Management,International Finance Corp,1
IDG Ventures,International Finance Corp,1
International Finance Corp,Ratan Tata,1
International Finance Corp,Kris Gopalakrishnan,1
Adveq Management,TPG Growth,1
IDG Ventures,TPG Growth,2
Ratan Tata,TPG Growth,1
Kris Gopalakrishnan,TPG Growth,1
Adveq Management,IDG Ventures,1
Adveq Management,Ratan Tata,1
Adveq Management,Kris Gopalakrishnan,1
IDG Ventures,Ratan Tata,1
IDG Ventures,Kris Gopalakrishnan,2
Kris Gopalakrishnan,Ratan Tata,1
Helion Venture,Sistema Asia Fund,1
Sistema Asia Fund,VentureEast,1
India Alternatives,Sistema Asia Fund,1
Helion Venture,VentureEast,1
Helion Venture,India Alternatives,1
India Alternatives,VentureEast,1
IDG Ventures,Inventus Capital,1
IDG Ventures,Indian Angel Network,1
Indian Angel Network,Inventus Capital,1
Blume Ventures,Exfinity Venture Partners,1
BeeNext,Exfinity Venture Partners,1
Exfinity Venture Partners,Rajesh Ranavat,1
BeeNext,Blume Ventures,1
Blume Ventures,Rajesh Ranavat,1
BeeNext,Rajesh Ranavat,1
Roopak Saluja,Vishal Khare,1
Manish Kheterpal,Vinay Mittal,1
Dinesh Mittal,Manish Kheterpal,1
Manish Kheterpal,Sandeep Gupta,1
Dinesh Mittal,Vinay Mittal,1
Sandeep Gupta,Vinay Mittal,1
Dinesh Mittal,Sandeep Gupta,1
IDG Ventures India,Inventus Capital,1
Blume Ventures,IDG Ventures India,1
Blume Ventures,Inventus Capital,1
Accel Partners,Matrix Partners,1
Accel Partners,Girish Mathrubootham,1
Girish Mathrubootham,Matrix Partners,1
DST Global,Norwest Venture Partners,1
Accel Partners,Norwest Venture Partners,2
Accel Partners,DST Global,1
Arun Tadanki,JM Financial Products Ltd,1
Doreswamy Nandkishore,JM Financial Products Ltd,1
JM Financial Products Ltd,Kshitij Jain,1
Arun Tadanki,Doreswamy Nandkishore,1
Arun Tadanki,Kshitij Jain,1
Doreswamy Nandkishore,Kshitij Jain,1
Blume Ventures,Rajan Anandan,1
Blume Ventures,Sumit Jain,1
Blume Ventures,Sujeet Kumar,1
Blume Ventures,Phanindra Sama,2
Rajan Anandan,Sumit Jain,2
Aprameya Radhakrishna,Rajan Anandan,2
Rajan Anandan,Sujeet Kumar,1
Phanindra Sama,Rajan Anandan,1
Aprameya Radhakrishna,Sumit Jain,2
Sujeet Kumar,Sumit Jain,2
Phanindra Sama,Sumit Jain,1
Aprameya Radhakrishna,Sujeet Kumar,1
Aprameya Radhakrishna,Phanindra Sama,2
Phanindra Sama,Sujeet Kumar,1
Creation Investments Capital Management,SAIF Partners,1
Creation Investments Capital Management,Sequoia Capital,1
Aspada Ventures,Creation Investments Capital Management,1
Aspada Ventures,SAIF Partners,1
Aspada Ventures,Sequoia Capital,1
Aditya Aggarwal,Rakesh Gupta,1
Rakesh Gupta,Siddharth Banerjee,1
Rakesh Gupta,Vikas Ranjan,1
Anshul Jindal,Rakesh Gupta,1
Rakesh Gupta,"Sunil Koul, and Sanjeev Agrawal",1
Aditya Aggarwal,Siddharth Banerjee,1
Aditya Aggarwal,Vikas Ranjan,1
Aditya Aggarwal,Anshul Jindal,1
Aditya Aggarwal,"Sunil Koul, and Sanjeev Agrawal",1
Siddharth Banerjee,Vikas Ranjan,1
Anshul Jindal,Siddharth Banerjee,1
Siddharth Banerjee,"Sunil Koul, and Sanjeev Agrawal",1
Anshul Jindal,Vikas Ranjan,1
"Sunil Koul, and Sanjeev Agrawal",Vikas Ranjan,1
Anshul Jindal,"Sunil Koul, and Sanjeev Agrawal",1
Phanindra Sama,Raghunandan G,1
Matrix Partners,Nexus Ventures,1
AdvantEdge Partners,S Chand,1
Kinnevik Group,Rocket Internet,1
Accel Partners,Helion Venture Partners,3
Anuj Srivastava,Anupam Mittal,1
Ankit Nagori,Anupam Mittal,1
Ankit Nagori,Anuj Srivastava,1
DeVry Inc,Kaizen Management Advisors,1
Aprameya,Sujeet Kumar,1
Subramanya Venkat,Sujeet Kumar,1
Sujeet Kumar,Venk,1
Ravi Machani,Sujeet Kumar,1
Hitesh Gupta,Sujeet Kumar,1
Rohit Choudhary,Sujeet Kumar,1
Aprameya,Sumit Jain,1
Aprameya,Subramanya Venkat,1
Aprameya,Venk,1
Aprameya,Ravi Machani,1
Aprameya,Hitesh Gupta,1
Aprameya,Rohit Choudhary,1
Subramanya Venkat,Sumit Jain,1
Sumit Jain,Venk,1
Ravi Machani,Sumit Jain,1
Hitesh Gupta,Sumit Jain,1
Rohit Choudhary,Sumit Jain,1
Subramanya Venkat,Venk,1
Ravi Machani,Subramanya Venkat,1
Hitesh Gupta,Subramanya Venkat,1
Rohit Choudhary,Subramanya Venkat,1
Ravi Machani,Venk,1
Hitesh Gupta,Venk,1
Rohit Choudhary,Venk,1
Hitesh Gupta,Ravi Machani,1
Ravi Machani,Rohit Choudhary,1
Hitesh Gupta,Rohit Choudhary,1
Chatsworth Management,ITW Digital,1
FF Angel,Sequoia Capital,1
Accel Partners,Indian Angel Network,1
Accel Partners,India Innovation Fund India Venture Partners,1
India Innovation Fund India Venture Partners,Indian Angel Network,1
Anirudh Damani,Vikram Lakhotia,2
Nelstone Ventures,Transmedia Capital,1
Maiden Lane Ventures,Nelstone Ventures,1
CSC Upshot & Angel investors,Nelstone Ventures,1
Maiden Lane Ventures,Transmedia Capital,1
CSC Upshot & Angel investors,Transmedia Capital,1
CSC Upshot & Angel investors,Maiden Lane Ventures,1
Alok Sharma,Indian Angel Network,1
Indian Angel Network,Kris Gopalakrishnan,1
Indian Angel Network,"Saurabh Srivastava, and Ajai Chowdhry",1
Alok Sharma,Kris Gopalakrishnan,2
Alok Sharma,"Saurabh Srivastava, and Ajai Chowdhry",1
Kris Gopalakrishnan,"Saurabh Srivastava, and Ajai Chowdhry",1
Blume Ventures,TM Service Technology Holdings GmbH,1
Barkawi Holdings GmbH,TM Service Technology Holdings GmbH,1
IDG,Indian Angel Network,1
Mahendra Patel,Nilender Chauhan,1
Sequoia Capital,Softbank,3
Lightspeed Venture Partners,Softbank,1
Greenoaks Capital,Softbank,1
DSG Consumer Partners and Venture Nursery,Softbank,1
Lightspeed Venture Partners,Sequoia Capital,1
Greenoaks Capital,Sequoia Capital,2
DSG Consumer Partners and Venture Nursery,Sequoia Capital,1
DSG Consumer Partners and Venture Nursery,Lightspeed Venture Partners,1
DSG Consumer Partners and Venture Nursery,Greenoaks Capital,1
Dr. Ranjan Pai,Kris Gopalakrishnan,1
Anirudh Damani,Daud Ali,1
Anirudh Damani,Narendra Karnavat,1
Anirudh Damani,Vikas Kapoor,1
Anirudh Damani,Krishna Jhunjhunwaala,1
Anirudh Damani,Jayesh Shah,1
Daud Ali,Narendra Karnavat,1
Daud Ali,Vikas Kapoor,1
Daud Ali,Vikram Lakhotia,1
Daud Ali,Krishna Jhunjhunwaala,1
Daud Ali,Jayesh Shah,1
Narendra Karnavat,Vikas Kapoor,1
Narendra Karnavat,Vikram Lakhotia,1
Krishna Jhunjhunwaala,Narendra Karnavat,1
Jayesh Shah,Narendra Karnavat,1
Vikas Kapoor,Vikram Lakhotia,1
Krishna Jhunjhunwaala,Vikas Kapoor,1
Jayesh Shah,Vikas Kapoor,1
Krishna Jhunjhunwaala,Vikram Lakhotia,1
Jayesh Shah,Vikram Lakhotia,1
Jayesh Shah,Krishna Jhunjhunwaala,1
Pravin Khandelwal,Yatin Kumar Jain,1
Dr. Sridhar Ramaswamy,Rakesh Mathur,1
Prashant Gooty,Rajeev Agrawal,1
Neeraj Arora,Ram Shriram,1
Puru Vashishtha,Ram Shriram,1
Neeraj Arora,Puru Vashishtha,1
Ajay Data,Mahavir Pratap Sharma,1
Mahavir Pratap Sharma,Yogesh Chaudhary,2
Mahavir Pratap Sharma,Sanjay Phophaliya,1
Mahavir Pratap Sharma,Siddharth Agarwal,1
Kamal Kothari,Mahavir Pratap Sharma,2
Ajay Data,Yogesh Chaudhary,1
Ajay Data,Sanjay Phophaliya,1
Ajay Data,Siddharth Agarwal,1
Ajay Data,Kamal Kothari,1
Sanjay Phophaliya,Yogesh Chaudhary,1
Siddharth Agarwal,Yogesh Chaudhary,1
Kamal Kothari,Yogesh Chaudhary,2
Sanjay Phophaliya,Siddharth Agarwal,1
Kamal Kothari,Sanjay Phophaliya,1
Kamal Kothari,Siddharth Agarwal,1
Vivek Nathani,Yogesh Chaudhary,1
Mahavir Pratap Sharma,Vivek Nathani,1
Kamal Kothari,Vivek Nathani,1
H C Jain,Vivek Nathani,1
H C Jain,Yogesh Chaudhary,1
H C Jain,Mahavir Pratap Sharma,1
H C Jain,Kamal Kothari,1
AdvantEdge Partners,Pawan Munjal,1
Astarc Ventures,Pawan Munjal,1
AdvantEdge Partners,Astarc Ventures,1
Gaurav Agarwal,Mitin Patel,1
LetsVenture,Stanford Angels,1
Chennai Angels,Stanford Angels,1
Hyderabad Angels,Stanford Angels,1
Mumbai Angels,Stanford Angels,1
Hyderabad Angels,LetsVenture,1
Chennai Angels,Hyderabad Angels,1
Chennai Angels,Mumbai Angels,1
Hyderabad Angels,Mumbai Angels,1
Maverick Capital Ventures,Sequoia Capital,1
Maverick Capital Ventures,Omidyar Network,1
Omidyar Network,Sequoia Capital,2
Adil Allana,Blume Ventures,1
Blume Ventures,Gautam Ivatury,1
Blume Ventures,Signal Point Partners,1
Adil Allana,Aprameya Radhakrishna,1
Adil Allana,Gautam Ivatury,1
Adil Allana,Signal Point Partners,1
Aprameya Radhakrishna,Gautam Ivatury,1
Aprameya Radhakrishna,Signal Point Partners,1
Gautam Ivatury,Signal Point Partners,1
M&Y Partners,SVG Media,1
Anthil Ventures & others,M&Y Partners,1
Anthil Ventures & others,SVG Media,1
HR Fund,Inventus Capital Partners,1
NTT Finance,Telephone Corporation,1
Apurva Salapuria,GrowthStory,1
GrowthStory,Hitesh Oberoi,1
GrowthStory,Sidharth Pansari,1
GrowthStory,Nirupa Shankar,1
Apurva Salapuria,Hitesh Oberoi,1
Apurva Salapuria,Sidharth Pansari,1
Apurva Salapuria,Nirupa Shankar,1
Hitesh Oberoi,Sidharth Pansari,1
Hitesh Oberoi,Nirupa Shankar,1
Nirupa Shankar,Sidharth Pansari,1
IDFC SPICE Fund,Micromax Informatics,1
Max Levchin,Scott Banister,1
Anupam Mittal,Farooq Oomerbhoy,1
Anand Mittal,Farooq Oomerbhoy,1
Farooq Oomerbhoy,Ravi Garikipati,1
Farooq Oomerbhoy,Vibhu Garg,1
Farooq Oomerbhoy,Singapore Angel Network,1
Farooq Oomerbhoy,Konglo Ventures,1
Anand Mittal,Anupam Mittal,1
Anupam Mittal,Ravi Garikipati,1
Anupam Mittal,Vibhu Garg,1
Anupam Mittal,Singapore Angel Network,2
Anupam Mittal,Konglo Ventures,1
Anand Mittal,Ravi Garikipati,1
Anand Mittal,Vibhu Garg,1
Anand Mittal,Singapore Angel Network,1
Anand Mittal,Konglo Ventures,1
Ravi Garikipati,Vibhu Garg,1
Ravi Garikipati,Singapore Angel Network,1
Konglo Ventures,Ravi Garikipati,1
Singapore Angel Network,Vibhu Garg,1
Konglo Ventures,Vibhu Garg,1
Konglo Ventures,Singapore Angel Network,1
Helion Ventures,Nandan Nilekani,1
Nandan Nilekani,Omidyar Networks,1
Helion Ventures,Omidyar Networks,1
Blume Ventures,Helion Ventures,1
Blume Ventures,Omidyar Networks,1
Anand Rajaraman,Rebright Partners,1
Rebright Partners,Venky Harinarayan,1
Anand Rajaraman,Venky Harinarayan,2
Fundnel,RB Investments,1
Lip-Bu Tan,Michael Marks,1
Lip-Bu Tan,Nicolas Braithwaite,1
Michael Marks,Nicolas Braithwaite,1
Kludein LLC\\nPhanindra Sama,Narayan Ramachandran,1
Kludein LLC\\nPhanindra Sama,Pranav Pai,1
Narayan Ramachandran,Pranav Pai,1
Amit Nanavati,Blinc Advisors,1
Blinc Advisors,Tashwinder Singh,1
Blinc Advisors,Taranjit Jaswal,1
Amit Khanna,Blinc Advisors,1
Amit Nanavati,Tashwinder Singh,1
Amit Nanavati,Taranjit Jaswal,1
Amit Khanna,Amit Nanavati,1
Taranjit Jaswal,Tashwinder Singh,1
Amit Khanna,Tashwinder Singh,1
Amit Khanna,Taranjit Jaswal,1
Anoop Hingorani,Sudhir Mehta,1
Daman Soni,Rajat Gupta & Others,1
Anuj Sanghi,Ruchirans Jaipuria,1
Accel Partners,Zop Smart,1
Qualcomm Ventures,Zop Smart,1
M&S Partners,Zop Smart,1
Rebright Partners,Sol Primero,1
Rebright Partners,Sudhir Anandarao,1
Ankur Warikoo,Rebright Partners,1
Ankur Singla,Rebright Partners,1
Sol Primero,Sudhir Anandarao,1
Ankur Warikoo,Sol Primero,1
Ankur Singla,Sol Primero,1
Ankur Warikoo,Sudhir Anandarao,1
Ankur Singla,Sudhir Anandarao,1
Ankur Singla,Ankur Warikoo,1
Abhay Singhal,Naveen Tewari,1
Amit Gupta,Naveen Tewari,1
Naveen Tewari,Piyush Shah,1
Naveen Tewari,Raghunandan G,1
Naveen Tewari,Rajiv Mehta,1
Abhay Singhal,Amit Gupta,1
Abhay Singhal,Piyush Shah,1
Abhay Singhal,Raghunandan G,1
Abhay Singhal,Rajiv Mehta,1
Amit Gupta,Piyush Shah,2
Amit Gupta,Raghunandan G,2
Amit Gupta,Rajiv Mehta,1
Piyush Shah,Raghunandan G,1
Piyush Shah,Rajiv Mehta,1
Raghunandan G,Rajiv Mehta,1
Apoorv Ranjan Sharma,Daud Ali and others,1
Bertelsmann India Investments,Undisclosed Japanese investor,1
Nirvana Digital India Fund,Undisclosed Japanese investor,1
Nirvana Digital Investment Holding Co Ltd,Undisclosed Japanese investor,1
500 Start-Ups,Undisclosed Japanese investor,1
Bertelsmann India Investments,Nirvana Digital India Fund,2
Bertelsmann India Investments,Nirvana Digital Investment Holding Co Ltd,1
500 Start-Ups,Bertelsmann India Investments,1
Nirvana Digital India Fund,Nirvana Digital Investment Holding Co Ltd,1
500 Start-Ups,Nirvana Digital India Fund,1
500 Start-Ups,Nirvana Digital Investment Holding Co Ltd,1
Aspada Investment Advisors,Blume Ventures.,1
Indian Angel Network,Stanford Angels,2
Entrepreneurs India,Indian Angel Network,2
Entrepreneurs India,Stanford Angels,2
Amit Choudhary,Anuj Puri,1
Raj Gala Shah,Zaheer Memon,1
Greycroft Partners,Ignition Partners,1
Fidelity Growth Partners India,Ignition Partners,1
