name,totalInvested,dealCount
Anil Matai,1000000.0,1
Anil Menon,100000.0,1
Anindya Ghose,0.0,0
Aniruddha Malpani,0.0,0
Anirudh Damani,450000.0,2
Anirudh Rastogi,223608.0,1
Anirudh Sheth,175000.0,1
Anish K,147000.0,1
Anisha Mittal,100000.0,1
Anita Dongre,0.0,0
Anita Gupta,0.0,0
Anita Hassanandani,108000.0,1
Anjali Bansal,2000000.0,1
Anjani Prasad,155000.0,1
Ankit Aditya,464000.0,1
Ankit Bhati,17200000.0,1
Ankit Gupta,325000.0,1
Ankit Maheshwari,0.0,0
Ankit Nagori,0.0,0
Ankit Sharma and others,220000.0,1
Ankur Capital,1000000.0,2
Ankur Gupta,750000.0,1
Ankur Singla,500000.0,1
Ankur Warikoo,500000.0,1
Ankush Gupta,80000.0,1
Ankush Mehta,145000.0,1
Ankush Nijhawa,0.0,0
Ankush Nijhawan,1300000.0,1
Ankush Saigal,0.0,0
Anoop Goyal,625000.0,1
Anoop Hingorani,0.0,0
Anshoo Gaur,330000.0,1
Anshu Bahadur,250000.0,1
Anshu Sharma,500000.0,1
Anshul Jindal,0.0,0
Anshuman Das,2000000.0,1
Ant Financial,830000000.0,2
Ant Financial Services (Alipay),0.0,0
Ant Financials,200000000.0,1
Anthil Ventures & others,0.0,0
Anthill Scale Ventures,311000.0,1
Anthill Ventures,2100000.0,1
Anubhav Verma,150000.0,1
Anuj Agrawal,0.0,0
Anuj Golecha,0.0,0
Anuj Gupta,0.0,0
Anuj Puri,0.0,0
Anuj Sanghi,500000.0,1
Anuj Srivastava,600000.0,2
Anupam Mittal,10605000.0,9
Anupam Mittal & other marquee investors,0.0,0
Anupam Mittal & others,0.0,0
Anupam Tyagi,0.0,0
Anurag Chauhan,0.0,0
Anurag Gupta,0.0,0
Anurag Srivastava,1000000.0,1
Aparup Sengupta,0.0,0
Apis Partner,60000000.0,1
Apoletto,59000000.0,2
Apoletto Managers,120000000.0,1
Apoorv Ranjan Sharma,0.0,0
Apoorva Patni,2100000.0,1
Appliyifi,0.0,0
Applyifi,0.0,0
Aprameya,0.0,0
Aprameya Radhakrishna,2840000.0,5
Aprameya Radhakrishnan,1200000.0,1
Apurva Chamaria,0.0,0
Apurva Salapuria,550000.0,1
Apurva Salarpuria,0.0,0
Aqeel Ahmed,300000.0,1
Aramex Ventures Llc,2000000.0,1
Arathi Krishna,0.0,0
Aravind Sanka,329230.0,1
Arihant Patni,1980000.0,3
Arihant Patni of Patni Family Office,2000000.0,1
Arjun Handa,1000000.0,1
Arjun Malhotra,200000.0,1
Arjun Mehta,0.0,0
Arjun Sharmaa,440000.0,1
