roundId,startupName,investmentType,amountUSD,date,year
round_253,Wow Express,Private Equity,4500000.0,2018-06-27,2018
round_254,Front Desk AI,Seed / Angel,1100000.0,2018-06-28,2018
round_255,Edureka,Seed / Angel,2000000.0,2018-06-28,2018
round_256,Numeroseven,Seed / Angel,,2018-06-29,2018
round_257,OpenTap,Seed / Angel,450000.0,2018-05-02,2018
round_258,Bizongo,Private Equity,22000000.0,2018-05-02,2018
round_259,Disprz,Seed / Angel,2500000.0,2018-05-03,2018
round_260,PaisaDukan,Seed / Angel,225000.0,2018-05-07,2018
round_261,i3sysytems,Seed / Angel,1000000.0,2018-05-09,2018
round_262,Earth Food,Seed / Angel,949000.0,2018-05-11,2018
round_263,Nykaa,Private Equity,24000000.0,2018-05-14,2018
round_264,mfine,Private Equity,4200000.0,2018-05-16,2018
round_265,Rocketium,Seed / Angel,300000.0,2018-05-21,2018
round_266,MilkBasket,Private Equity,7000000.0,2018-05-21,2018
round_267,Vola,Seed / Angel,500000.0,2018-05-22,2018
round_268,Cashkumar,Seed / Angel,735000.0,2018-05-22,2018
round_269,Edyoo,Seed / Angel,735000.0,2018-05-23,2018
round_270,Aashiyaan,Seed / Angel,2000000.0,2018-05-23,2018
round_271,Smartivity,Seed / Angel,2000000.0,2018-05-24,2018
round_272,Bonphulapl,Seed / Angel,293000.0,2018-05-24,2018
round_273,Acko,Seed / Angel,12000000.0,2018-05-27,2018
round_274,HWell24,Seed / Angel,200000.0,2018-05-28,2018
round_275,Toffee,Seed / Angel,1500000.0,2018-05-29,2018
round_276,Tonetag,Private Equity,8000000.0,2018-05-29,2018
round_277,Events High,Private Equity,,2018-05-30,2018
round_278,Stellaps,Private Equity,14000000.0,2018-05-30,2018
round_279,Credright,Seed / Angel,1300000.0,2018-05-31,2018
round_280,Fitternity,Private Equity,2000000.0,2018-04-02,2018
round_281,Synctag,Seed / Angel,307600.0,2018-04-02,2018
round_282,Benepik,Seed / Angel,,2018-04-02,2018
round_283,Finzy,Seed / Angel,1300000.0,2018-04-02,2018
round_284,Varthana,Private Equity,55000000.0,2018-04-04,2018
round_285,IndigoLearn,Seed / Angel,150000.0,2018-04-05,2018
round_286,Vedantu,Private Equity,10000000.0,2018-04-05,2018
round_287,Kaleidofin,Seed / Angel,2800000.0,2018-04-09,2018
round_288,Pipabella,Seed / Angel,1000000.0,2018-04-09,2018
round_289,Elemential,Seed / Angel,,2018-04-09,2018
