name,industry,subVertical,city,totalRaisedUSD,fundingRounds,firstFunded,lastFunded
Cuberoot,Consumer Internet & Tech,Data Analytics & Audience Management Platform,Gurgaon,500000.0,1,2016-08-12,2016-08-12
Cubito,,,,160000.0,1,2015-03-24,2015-03-24
CueMath,Consumer Internet & Tech,Maths Learning program,Delhi,19000000.0,2,2016-06-07,2017-01-23
Cuelearn,Edtech,,Delhi,0.0,1,2015-08-03,2015-08-03
Cult,Healthtech,Health and Fitness Centres,Bangalore,3000000.0,1,2016-08-25,2016-08-25
Cult Fitness,Healthtech,Healthcare training programs,Bangalore,0.0,1,2016-04-05,2016-04-05
Culture Machine,,,,18000000.0,1,2015-02-05,2015-02-05
CultureAlley,Edtech,,Jaipur,6500000.0,1,2015-07-03,2015-07-03
Cupick,Social & Community,,Bangalore,120000.0,1,2015-06-20,2015-06-20
CupoNation,Consumer Internet & Tech,Deals and Discount platform,Gurgaon,11000000.0,1,2016-02-23,2016-02-23
Curatio,Healthtech,Skincare Speciality services,Chennai,0.0,1,2017-08-05,2017-08-05
Cure Fit,Consumer Internet & Tech,Health and fitness Platform,Bangalore,120000000.0,1,2018-07-30,2018-07-30
CureFit,Healthtech,Fitness,Bangalore,38200000.0,3,2017-05-08,2018-01-30
CureInstant,Consumer Internet & Tech,Social Health Networking Platform,Delhi,150000.0,1,2016-09-10,2016-09-10
CureJoy,Consumer Internet & Tech,Online Alternative health community platform,Bangalore,5550000.0,2,2015-09-18,2016-06-14
Curefit,Consumer Internet & Tech,Online Preventive Healthcare Platform,Bangalore,15000000.0,1,2016-07-04,2016-07-04
Curie Labs,Consumer Internet & Tech,Energy Analytics startup,Delhi,50000.0,1,2017-05-09,2017-05-09
Curiositi,Consumer Internet & Tech,Online Learning Platform,Bangalore,800000.0,1,2017-01-17,2017-01-17
Curofy,Consumer Internet & Tech,Mobile App for Network of Doctors,Gurgaon,250000.0,2,2015-10-09,2017-12-14
CustomFurnish.com,,,,2500000.0,1,2015-03-05,2015-03-05
Customer360,Other,,Mumbai,0.0,1,2015-05-05,2015-05-05
CustomerSucessBox,Consumer Internet & Tech,Customer Success Software for B2B SaaS,Gurgaon,1000000.0,1,2018-03-19,2018-03-19
Customfurnish,E-Commerce,,Hyderabad,4500000.0,1,2015-12-07,2015-12-07
Cyclops,Consumer Internet & Tech,Clinical and Wearable Diagnostic Product creator,Bangalore,100000.0,1,2016-10-29,2016-10-29
CyclopsMedtech,Consumer Internet & Tech,Medical Technology Provider,Bangalore,0.0,1,2016-06-21,2016-06-21
Cygnus Hospitals,Healthtech,Super speciality Hospitals,Gurgaon,750000.0,1,2017-12-07,2017-12-07
DAAKI,E-Commerce,Sports Nutrition Supplement etailer,Bangalore,0.0,1,2018-01-08,2018-01-08
Daalchini Technologies,Food & Beverage,Digital Vending Machine,Delhi,500000.0,1,2019-07-04,2019-07-04
Daily Ninja,Consumer Internet & Tech,Hyperlocal Delivery Platform,Bangalore,3000000.0,2,2016-08-02,2018-06-12
